This is a list of Gnome Bugzilla products with the percentage of recent
patches filed in Bugzilla that have been reviewed for each product.
Only patches submitted during 2006 and before the last week of 2006 are
considered, and only products which have at least 4 patches submitted
in that time are shown.
gnome-pilot                     74 (  14/  19)
NetworkManager                  73 (  49/  67)
criawips                        73 (   8/  11)
GConf                           72 (  21/  29)
jhbuild                         72 (  64/  89)
gnome-terminal                  71 (  58/  82)
xml2po                          70 (   7/  10)
gnome-volume-manager            70 (  16/  23)
gnomemm                         69 (   9/  13)
gnome-doc-utils                 68 (  13/  19)
gconf-editor                    68 (  17/  25)
libbtctl                        67 (   6/   9)
gnome-keyring-manager           64 (   9/  14)
libxslt                         64 (  16/  25)
control-center                  64 ( 125/ 196)
gnome-python                    62 (   5/   8)
esound                          62 (   8/  13)
gnome-panel                     61 (  60/  98)
pygobject                       61 (  17/  28)
gtranslator                     60 (   3/   5)
libcroco                        60 (   3/   5)
gnome-menus                     58 (   7/  12)
nautilus                        58 ( 121/ 208)
muine                           57 (  12/  21)
libgnomecanvas                  56 (   5/   9)
gnome-vfs                       55 (  83/ 151)
gamin                           54 (   7/  13)
doxygen                         53 (  23/  43)
pygtk                           53 (  33/  62)
meld                            50 (   9/  18)
gnet                            50 (   2/   4)
netapplet                       50 (   2/   4)
gnome-blog                      50 (   2/   4)
GEGL                            50 (   2/   4)
bluefish                        44 (   4/   9)
sabayon                         40 (   4/  10)
gnome-common                    38 (   3/   8)
libxml++                        36 (   4/  11)
libgnomedb                      27 (   4/  15)
gimmie                          25 (   3/  12)
orbit-cpp                       25 (   1/   4)
website                         20 (   1/   5)
gnome-netstatus                 17 (   1/   6)
libglade                        17 (   1/   6)
gnome-main-menu                 14 (   1/   7)
gnome-themes-extras              0 (   0/   8)
firestarter                      0 (   0/   6)
goobox                           0 (   0/   5)
GHex                             0 (   0/   5)
