Mar 21 11:30:46 <chen>	Lets get started!!
Mar 21 11:40:38 <dvratil>	this week I ported the ITIP plugin to pure HTML
Mar 21 11:40:46 <chen>	dvratil, thanks!!
Mar 21 11:40:51 <chen>	dvratil, thats nice :)
Mar 21 11:40:59 <chen>	jpunit, updates?
Mar 21 11:41:04 <chen>	dwmw2_gone, anything to share?
Mar 21 11:41:15 *	chen hopes jpunit is still alive :)
Mar 21 11:41:36 *	mbarnes needs to step away for a moment... skip me until I get back
Mar 21 11:41:41 *	You are now known as mbarnes|afk
Mar 21 11:41:46 <chen>	ok
Mar 21 11:41:51 <chen>	kov, anything to share?
Mar 21 11:41:59 <chen>	lakhil, updates?
Mar 21 11:42:06 <jpunit>	chen: damn bad internet connection.. :(
Mar 21 11:42:12 *	jpunit has quit (Read error: 131 (Connection reset by peer))
Mar 21 11:42:21 <chen>	mcrha, updates?
Mar 21 11:42:46 <mcrha>	hi, nothing much to highlight, just a usual bugzilla-related work.
Mar 21 11:42:55 *	You are now known as mbarnes
Mar 21 11:42:56 *	lakhil_ (~lakhil@117.192.14.231) has joined #evolution-meet
Mar 21 11:43:01 <mcrha>	the only pita is that the hard-code freze lasts for aone week only ;)
Mar 21 11:43:11 <chen>	mcrha, hehe
Mar 21 11:43:18 <chen>	mcrha, thanks!!
Mar 21 11:43:23 <chen>	vibs, updates?
Mar 21 11:43:30 <andre>	you can always branch for gnome-3-4
Mar 21 11:43:32 <chen>	mcrha, so on for a vacation ? :)
Mar 21 11:43:51 <vibs>	yes, past month I was involved with bugs for better offline handling, Bugs for attachment handling for calendar items and a few bugs for groupwise backend.
Mar 21 11:43:52 <mcrha>	had been planned to be :)
Mar 21 11:44:12 *	jpunit (~punit@122.179.60.160) has joined #evolution-meet
Mar 21 11:44:12 <lakhil_>	andre, mcrha won't commit small fixes now, he is getting ready with code bomb :P
Mar 21 11:44:29 <chen>	andre, , thought would be good for translators
Mar 21 11:44:48 <jpunit>	Hi.. I worked on porting ews patches to 2.28 branch and some bug fixes..
Mar 21 11:44:49 <mcrha>	vibs, offline for gw too, or for any other backend, or in general?
Mar 21 11:44:53 <chen>	they need not commit for two branches, we have no urgent need to branch atm..
Mar 21 11:44:59 <vibs>	mcrha: general
Mar 21 11:45:00 <andre>	chen, makes sense
Mar 21 11:45:10 <mcrha>	vibs, aah, good
Mar 21 11:45:19 <chen>	vibs, thanks :)
Mar 21 11:45:23 <vibs>	:)
Mar 21 11:45:24 <chen>	xtian, updates?
Mar 21 11:45:31 <xtian>	got evo-kolab 3.3.92 out the door, noticed some issues after that. will document in bugzilla and try to get the fixes done at the same time, so i can try whether they let me get them in for 3.4.0
Mar 21 11:45:50 <chen>	xtian, thanks!!
Mar 21 11:45:57 <xtian>	backend class instances being run in their own threads was a nice surprise... :-)
Mar 21 11:46:19 <chen>	:)
Mar 21 11:46:21 <mcrha>	xtian, be ready for an API change in 3.5.1 in cal backends
Mar 21 11:46:24 <xtian>	aside from that, it's pretty much working (after pretty much work, porting from 2.30)
Mar 21 11:46:31 <xtian>	mcrha: yes
Mar 21 11:46:46 <chen>	mbarnes, updates?
Mar 21 11:46:49 <mbarnes>	all my focus is on finishing up the account-mgmt branch
Mar 21 11:46:49 <mbarnes>	I'm currently engaged in a complete rewrite of the mail account editor
Mar 21 11:46:49 <mbarnes>	the new editor will consist of 20-some fine-grained classes
Mar 21 11:46:49 <mbarnes>	instead of one giant monolithic class
Mar 21 11:46:49 <mbarnes>	and be extensible via EExtension rather than EConfig
Mar 21 11:46:49 <mbarnes>	after that I'll be blazing through the groupware backends as fast as possible
Mar 21 11:46:49 <mbarnes>	so I can finally get this damn thing merged for 3.5.1 or .2, hopefully
Mar 21 11:46:49 <mbarnes>	I'll be posting a blog entry about this when I'm ready to merge
Mar 21 11:46:51 *	jpunit has quit (Read error: 104 (Connection reset by peer))
Mar 21 11:46:58 <mcrha>	xtian, and I guess in camel around camelsearch too ;)
Mar 21 11:47:16 *	andre wants blogposts even before merging
Mar 21 11:47:25 <chen>	mbarnes, wonderful :)
Mar 21 11:47:46 <chen>	mcrha, u are threatening him ;)
Mar 21 11:47:55 <mcrha>	a little bit ;)
Mar 21 11:47:58 <xtian>	mcrha: cool. i've got a whole lot of stuff planned which i will need to do on eko 3.4  code base, so i'll branch late for 3.5 most probably
Mar 21 11:48:00 <chen>	lol
Mar 21 11:48:30 <chen>	anything else from anyone before we wrap up ?
Mar 21 11:48:30 <mcrha>	xtian, can work too
Mar 21 11:48:51 *	mcrha is wrapping down
Mar 21 11:49:08 <chen>	Lets then meet during April, Thanks everyone!!
Mar 21 11:49:18 <xtian>	mcrha: yeah, hope i should be done with this by middle of 3.5/3.6 cycle, so porting from 3.4 to 3.5 can happen then
Mar 21 11:49:19 <mcrha>	bye
Mar 21 11:49:45 <mcrha>	xtian, I do not expect much work on that, and I plan to help, till it'll be fresh
Mar 21 11:49:51 *	lakhil has quit (Ping timeout: 600 seconds)
Mar 21 11:49:51 <xtian>	bye, and thanks chen for guiding us though
Mar 21 11:50:17 <xtian>	mcrha: okay, aTdHvAaNnKcSe!
Mar 21 11:50:18 <chen>	xtian, :)
Mar 21 11:50:19 <mcrha>	xtian, thus preferred to branch as usual, to not postpone much
Mar 21 11:50:31 *	chen is now known as chen|dinner
Mar 21 11:51:24 *	vibs has quit (Leaving.)
Mar 21 11:51:57 <xtian>	mcrha: my resources are much limited, i must admit, and it will get me into trouble if i branch too early
Mar 21 11:52:14 *	lakhil_ has quit (Leaving)
Mar 21 11:52:18 <xtian>	mcrha: but let's keep in touch about this
Mar 21 11:52:58 <mcrha>	sure thing, xtian 
Mar 21 11:54:00 <xtian>	mcrha: at least i would like to wait till god's great duststorm is over in evo/e-d-s, and port eko over to 3.5 only then :-)
Mar 21 11:55:22 <mcrha>	xtian, makes sense. I'll attach fixes to eko bugzilla, thus you'll be able to pick them whenever it'll suit for you. The only thing is that it should not be done in the 3.4. place
Mar 21 11:58:53 <xtian>	mcrha: yep. i'll iron out which things i'll need to do first and get through with them
Mar 21 11:59:28 <xtian>	thanks mcrha
Mar 21 12:00:14 <mcrha>	ok, xtian 
Mar 21 12:01:49 <xtian>	mcrha: i should create 3.4 and 3.5 in eko bugzilla
Mar 21 12:02:26 <mcrha>	it's done automatically on release
Mar 21 12:07:11 <xtian>	oh fine, all the better.
