Dec 22 10:26:56 <chen>	Lets get started
Dec 22 10:44:57 <dave_largo>	abharath, chen, lakhil, vibs and I.
Dec 22 10:45:13 <dwmw2_gone>	chen: nah, done nothing recently
Dec 22 10:45:15 <chen>	dave_largo, we could speak here on community aspects,
Dec 22 10:45:19 <dwmw2_gone>	all MeeGo stuff
Dec 22 10:45:32 <chen>	but for issues on bnc, NTS is the best channel
Dec 22 10:45:35 <abharath>	yeah Meego everywhere on foss.in :)
Dec 22 10:45:40 <dave_largo>	chen: right, but let's have a groupwise meeting sometime after next week, so I can go over my ideas
Dec 22 10:45:44 <chen>	dwmw2_gone, thanks
Dec 22 10:46:20 <chen>	dave_largo, fine
Dec 22 10:46:25 <chen>	jpunit, updates?
Dec 22 10:46:47 <jpunit>	Hi.. working on customer issues on exchange and worked on merging evolution express account setup to evolution
Dec 22 10:47:11 <chen>	jpunit, thanks
Dec 22 10:47:19 <chen>	kov, anything to share?
Dec 22 10:47:24 <chen>	mbarnes, updates?
Dec 22 10:47:48 <mbarnes>	I've been posting all my updates of late to evo-hackers
Dec 22 10:47:48 <mbarnes>	(see: "Rethinking account management" thread)
Dec 22 10:47:48 <mbarnes>	only updates I have are: so far so good. it's actually working!
Dec 22 10:47:48 <mbarnes>	but I have a long way to go yet
Dec 22 10:47:48 <mbarnes>	targetting 3.1 now, which unfortunately means GConf still for 3.0
Dec 22 10:49:24 <chen>	mbarnes, ah ok. but thats a very nice and big work you have taken up. awesome and no words to pick up :)
Dec 22 10:49:27 <chen>	vibs, updates?
Dec 22 10:49:39 <vibs>	chen: Yeah.... For past one month I was mostly onto gtk3 branch, Making it compilable and fixing bugs on the same... will be continuing the same :),
Dec 22 10:49:49 <vibs>	and working on Some concerns on Name Selector Entry raised by Milan.
Dec 22 10:50:04 <chen>	mbarnes, i have not been able to read through all the mails, but would read sometime and speak with you if i have anything..
Dec 22 10:50:15 <chen>	vibs, nice work :)
Dec 22 10:50:36 <chen>	anything else from anyone?
Dec 22 10:51:18 <chen>	Lets then meet next year :) Merry christmas and wish you all very happy new year!!
Dec 22 10:51:57 <abharath>	Happy Holidays :D
Dec 22 10:52:27 <jpunit>	Merry Christmas :)

