May 16 11:34:36 <chen>	Lets get started!!
May 16 11:53:13 <mbarnes>	if I'm ready in time I'd like to merge just AFTER the 3.5.2 release, or else asap thereafter
May 16 11:53:36 <xtian>	mbarnes: as far as eko (evolution-kolab) goes, hope i'll have it ready for 3.5 by the time you merge
May 16 11:53:38 <mcrha>	Jun 04 for 3.5.2
May 16 11:54:04 <chen>	mbarnes, if the work over the groupware modules is manageable, i would say go for it..
May 16 11:54:16 <mcrha>	mbarnes, I would say, if you've ews done, and you'll promise to do the other core groupware parts, then you can commit just after ews.
May 16 11:54:33 <chen>	mbarnes, i hope it wont break the groupware accounts, that would make it unusable ?
May 16 11:54:48 <chen>	mcrha, that's a nice idea
May 16 11:55:22 <chen>	mcrha, updates?
May 16 11:55:23 <mcrha>	xtian, maybe wait when it's merged, as it is otherwise a double rewrite ;)
May 16 11:55:38 <jpunit1>	nothing much.. submitted folder size patch for ews.. and some internal work..
May 16 11:55:46 <mbarnes>	chen: they would be unbuildable until I fix them
May 16 11:55:50 <chen>	jpunit1, cool, thanks
May 16 11:56:10 <chen>	mbarnes, how about mcrha's idea ?
May 16 11:56:11 <mcrha>	I think I was just on bugs, nothing large being done by myself (I only guide Dan a little)
May 16 11:56:22 <chen>	mcrha, thanks!!
May 16 11:56:27 <chen>	vibs, updates?
May 16 11:57:02 <vibs>	I just finished change password feature for EWS connector. And other bug fixes for downstream.
May 16 11:57:03 <chen>	xtian, updates?
May 16 11:57:14 <xtian>	eko still struggeling with libical memory issues. apart from that, we've branched off gnome-3-4
May 16 11:57:15 <chen>	vibs, thanks!!
May 16 11:57:39 <mbarnes>	chen: if you guys are okay with that, I should have EWS done by Jun 4 and hopefully well on my way with MAPI
May 16 11:57:39 <chen>	xtian, cool, what kind of libical memory issues?
May 16 11:57:43 <xtian>	i was thinking to port eko from 3.4.2 to 3.5.1 now
May 16 11:58:01 <mcrha>	xtian, good for the branching.
May 16 11:58:01 <xtian>	chen: memory corruption with timezones in libical0.48
May 16 11:58:11 <chen>	mbarnes, am ok with it
May 16 11:58:23 <mcrha>	mbarnes, me too
May 16 11:58:55 <mcrha>	dvratil, ^?
May 16 11:58:59 <chen>	xtian, oh ok. iirc mbarnes made some fixes w.r.t in evo. maybe u can look into evo logs
May 16 11:59:24 <mcrha>	chen, xtian made it deeper in the investigation
May 16 11:59:25 <mbarnes>	chen, mcrha: okay cool.  you guys trust me more than I trust myself  :)
May 16 11:59:27 <xtian>	chen: i'll look these up, thanks
May 16 11:59:28 <dvratil>	mbarnes, no problem :)
May 16 11:59:36 <chen>	mbarnes, :)
May 16 11:59:42 <mcrha>	xtian, didn't they do a release yet?
May 16 11:59:47 <chen>	mcrha, oh ok
May 16 12:00:01 <xtian>	mcrha: afaik not
May 16 12:00:17 <chen>	Anything else from anyone before we wind up ?
May 16 12:00:19 <mcrha>	xtian, if I recall correctly their "fix" was to enlarge some array to larger value, thus it wasn't reallocated
May 16 12:00:27 <xtian>	mcrha: so far, there's only the workaround from that one ubuntu guy
May 16 12:00:38 <xtian>	mcrha: that's the one
May 16 12:00:44 <mcrha>	xtian, hrm, bad
May 16 12:01:02 <mcrha>	the 0.48 is not a nice release, this is the second issue I know of
May 16 12:01:19 <xtian>	mcrha: iirc, the upstream guys were mumbling something of a hosed memory management, in need of a rewrite
May 16 12:01:38 <mcrha>	xtian, ...couple years ago ;)
May 16 12:01:39 <xtian>	bigger issue
May 16 12:01:49 <chen>	mcrha, :)
May 16 12:02:04 <xtian>	hehe
May 16 12:02:17 <chen>	Thanks everyone and lets catch up next month with more updates!!
May 16 12:02:26 <xtian>	thanks chen 
May 16 12:02:30 <mcrha>	...and with new evo
May 16 12:02:35 <chen>	mcrha, yeah!!

