Oct 31 06:04:47 <srag>	hello every one
Oct 31 06:15:17 <srag>	psankar, we would be UI announce then
Oct 31 06:15:18 <psankar>	srag, thanks :)
Oct 31 06:15:20 <schooms>	more MAPI stuff.. able to get calendar and tasks from server now.. yay !! working on create/modify/delete items :)
Oct 31 06:15:26 <srag>	cool
Oct 31 06:15:34 <srag>	schooms, lets get it done fast
Oct 31 06:15:46 <schooms>	srag: sure.. :)
Oct 31 06:15:56 *	srag feels more comfortable on the mapi provider now
Oct 31 06:16:08 <srag>	we should deprecate ours soon and make this the default in next release or so
Oct 31 06:16:21 <srag>	srinidhi, anything to share with us?
Oct 31 06:17:07 <srag>	I hope I didn't miss anyone
Oct 31 06:17:13 <srag>	Anything else to discuss ?
Oct 31 06:17:42 <Akhil>	srag, i just want to put forward my observation in bgo 
Oct 31 06:17:51 <Akhil>	if time permitts 
Oct 31 06:17:52 <srag>	sure Akhil 
Oct 31 06:18:26 <Akhil>	srag, During triaging in bgo i found that there are almost 10 crasher bugs which are fedora 7 (moonshine) specific. 
Oct 31 06:18:36 <Akhil>	If mbarnes and mcrha can have a look once, bgo could get rid of hundreds of duplicates per week.
Oct 31 06:18:41 <srinidhi>	srag: nothing much... :)
Oct 31 06:18:43 *	jon1 (~jjohnny@125.16.129.17) has joined #evolution-meet
Oct 31 06:18:58 <srag>	Akhil, nice thought. mcrha mbarnes ?
Oct 31 06:19:11 <mbarnes>	Akhil: email me a list of them please and I'll take a look
Oct 31 06:19:12 <Akhil>	(all are in Needinfo state :()
Oct 31 06:19:15 <srag>	Akhil, can we plan for a bug day to get rid of bugs older than 2.6 atleast?
Oct 31 06:19:27 <Akhil>	mbarnes, sure ..
Oct 31 06:19:30 <srag>	so that we can deal with the latest ones
Oct 31 06:19:46 <srag>	we can narrow down them to 2.10/2.12 later
Oct 31 06:19:52 <Akhil>	srag, i will try and let you know about plan 
Oct 31 06:20:01 <srag>	what we deal currently are 2.12 and head nothing else
Oct 31 06:20:05 <srag>	Akhil, great
Oct 31 06:20:10 *	schooms has seen some ancient bugs... ranging back to 1.x 
Oct 31 06:20:15 <psankar>	Akhil, if you find something like tis next time, u can tell them in #evo itself
Oct 31 06:20:22 <psankar>	without waiting for the weekly meet :)
Oct 31 06:20:46 <srag>	ok guys. thatz it from my side
Oct 31 06:21:03 <srag>	catch you all next week. 
Oct 31 06:21:05 *	Akhil wants to put after observation of atleast 2 weeks :)

