Nov 19 05:00:22 <srag>	Hello guys, 
Nov 19 05:12:17 <mcrha>	chen, and the one for dave, yeah ;) (if not that the one)
Nov 19 05:12:26 <srag>	mcrha, thatz the one :)
Nov 19 05:12:32 <mcrha>	goooood ;)
Nov 19 05:12:36 <jony>	srag, nothing much apart from the 'NEWS' ... will start fixing bugs .. 
Nov 19 05:12:46 <srag>	jony, you gotto fix LOOOOTS of bugs
Nov 19 05:12:52 <jony>	yep. :)
Nov 19 05:12:56 <srag>	:)
Nov 19 05:13:05 <srag>	lakhil, anything to share with us ?
Nov 19 05:13:17 <lakhil>	patches and exchange back end testing, bug triaging  
Nov 19 05:13:34 <srag>	lakhil, good catch on that all-folder-download
Nov 19 05:13:45 <srag>	but bad, you caught it almost after a year ;-)
Nov 19 05:13:53 <lakhil>	:)
Nov 19 05:14:14 *	lakhil needs to keep eye on mcrha now :-P
Nov 19 05:14:41 <srag>	lakhil, I can sponsor you a X-Ray glasses, from jony's credit card ;-)
Nov 19 05:14:41 <mcrha>	that's your turn now, lakhil, I gave you something yesterday :)
Nov 19 05:15:01 <jony>	:D
Nov 19 05:15:03 <srag>	mbarnes, early morning :) anything to share with us ?
Nov 19 05:15:20 <lakhil>	mcrha,  so eye means for patches also :-)
Nov 19 05:15:42 <srag>	mcrha, anything to share with us ?
Nov 19 05:15:43 <mcrha>	lakhil, I see, I didn't get the right meaning the first time :)
Nov 19 05:16:03 <mcrha>	srag, you mentioned already, I caused a bad thing almost a year ago in bug #336074
Nov 19 05:16:14 <srag>	mcrha, thatz ok :)
Nov 19 05:16:16 <mbarnes>	hey guys
Nov 19 05:16:18 <mbarnes>	I posted a status update about kill-bonobo to evolution-hackers.
Nov 19 05:16:18 <mbarnes>	In short, I'm stuck working on it in my free time now so 2.26 is looking less certain.
Nov 19 05:16:18 <mbarnes>	More technical details and documentation to follow soon.
Nov 19 05:16:18 <mbarnes>	I'm looking for some feedback on this stuff, so don't be shy.
Nov 19 05:16:18 <mbarnes>	Apart from that, mainly occupied with Red Hat stuff right now.
Nov 19 05:16:43 <mcrha>	srag, there is some fix, even accepted you said to wait until lakhil will test it
Nov 19 05:16:56 <srag>	mbarnes, try to get kill-bonobo stuff in.
Nov 19 05:17:16 <srag>	If you want, probably we can have early testing by some of us running from the branch
Nov 19 05:17:39 <lakhil>	mcrha, i have in my list :-)
Nov 19 05:17:44 <srag>	mbarnes, I would let you to decide the timeline,
Nov 19 05:17:54 <srag>	mbarnes, not beyond 2.25.4, I would say
Nov 19 05:17:58 <srag>	which should leave us good time
Nov 19 05:18:09 *	psankar wanted to discuss some bug with mbarnes but sadly cant seem to do for next few hours . has to go out :(
Nov 19 05:18:20 <srag>	psankar, the bug on passwords ?
Nov 19 05:18:24 <psankar>	srag, yeah
Nov 19 05:18:25 <seb128>	srag: when is 2.25.4?
Nov 19 05:18:51 <lakhil>	seb128, Jan 5 
Nov 19 05:18:52 <srag>	psankar, mbarnes try  close it for 2.24.2
Nov 19 05:18:54 <srag>	seb128, Jan 5
Nov 19 05:19:08 <mbarnes>	psankar: I'll be around.  try and catch me when you get back
Nov 19 05:19:13 <seb128>	that's late to land disruptive changes
Nov 19 05:19:15 <psankar>	srag, sure later todaay we'll solve it
Nov 19 05:19:23 <psankar>	sure mbarnes thanks
Nov 19 05:19:27 <srag>	so, definitely not later than that.
Nov 19 05:19:50 <srag>	mbarnes, thanks for the updates
Nov 19 05:20:03 <srag>	hey mmeeks, anything to share with us ?
Nov 19 05:20:05 <mbarnes>	2.25.4 is pushing it, but we'll see
Nov 19 05:20:12 <srag>	mbarnes, all the best. 
Nov 19 05:20:12 <seb128>	also if you land if late it would be nice to be sure than somebody will have free slots to address issues quickly during the week after that
Nov 19 05:20:16 <psankar>	mbarnes, btw, you should enable comments for non-livejournal users in your blog :-)
Nov 19 05:20:37 <mbarnes>	psankar: yeah, I've done that now
Nov 19 05:20:43 <srag>	seb128, it would be taken care surely.
Nov 19 05:20:44 <psankar>	mbarnes, nice :)
Nov 19 05:21:02 <srag>	msuman, anything to share with us ?
Nov 19 05:21:26 <msuman>	srag: a couple of bugs and some rewrite of the mapi acc setup plugin
Nov 19 05:21:35 <srag>	msuman, ok.
Nov 19 05:21:41 <msuman>	hopefully, I didn't break anything :)
Nov 19 05:21:43 <srag>	psankar, anything to share with us ?
Nov 19 05:21:45 <psankar>	Trying to optimize some disk i/o operations on the migration. Removed the delete calls by adding a new api which will jsut add (instead of add + delete). Have to see if there are improvments, otherwise, will have to move to in-memory-tables which gets moved to disk (after an sizeable delta etc.) . Shortly put - migration to db issues. 
Nov 19 05:21:48 <srag>	msuman, you better be sure of it :)
Nov 19 05:21:59 <msuman>	yep
Nov 19 05:22:09 <srag>	psankar, I would like to be sure that, it works well
Nov 19 05:22:12 <jony>	psankar, nice ! 
Nov 19 05:22:20 <srag>	I think few ubuntu users having vareity of issues
Nov 19 05:22:25 <psankar>	srag, right .. shall check it. 
Nov 19 05:22:34 <srag>	everytime migration instead of just once, and deadlocks etc
Nov 19 05:22:36 <srag>	cool
Nov 19 05:22:42 <srag>	seb128, anything to share with us ?
Nov 19 05:22:45 <psankar>	yeah. on my list.
Nov 19 05:23:06 <seb128>	nothing special, still watching the ubuntu bug, quite some users are concerned about the 2.24 quality but you are fixing issues quickly so that's alright
Nov 19 05:23:34 <srag>	seb128, just get the issues reported with good steps, and CC me, we should be able to work it around very fast
Nov 19 05:23:40 <seb128>	waiting on the next tarballs to get an another round of wrong vfolder counts and other issues fixed ;-)
Nov 19 05:23:52 <seb128>	srag: right, you are doing a great job
Nov 19 05:24:05 <srag>	seb128, yep, vfolder counts are still bad, nad I might choose to force count every quit, for stable
Nov 19 05:24:08 <seb128>	complain I've to fight now are rather things which got dropped during the sqlite switch
Nov 19 05:24:10 <srag>	seb128, thanks a lot :)
Nov 19 05:24:19 <seb128>	ie vfolder using other vfolders, unmatched vfolder, etc
Nov 19 05:24:40 <srag>	seb128, lets see :-)
Nov 19 05:24:43 <srag>	for 2.26
Nov 19 05:24:48 *	verwilst (~verwilst@62.58.98.250) has joined #evolution-meet
Nov 19 05:25:01 <seb128>	you addressed the unread folder thing now right?
Nov 19 05:25:09 <seb128>	that was one of the most frequent complain
Nov 19 05:25:16 <srag>	seb128, I have put fix and it should solve 90%
Nov 19 05:25:21 <seb128>	good
Nov 19 05:25:23 <srag>	still some guys have some wierd problem
Nov 19 05:25:28 <srag>	and I have no clues
Nov 19 05:25:28 <seb128>	let's see what comes next ;-)
Nov 19 05:25:30 <srag>	sure
Nov 19 05:25:40 <srag>	verwilst, anything to share with us ?
Nov 19 05:26:07 <srag>	guys, Anything else to discuss, before we leave?
Nov 19 05:26:23 *	verwilst chuckles
Nov 19 05:26:27 <verwilst>	no, just listening
Nov 19 05:26:32 <srag>	ok :)
Nov 19 05:26:37 <srag>	See you all next week guys, bye
Nov 19 05:26:41 <seb128>	bye

