Sep 21 11:29:54 <chen>	Lets get started!!
Sep 21 11:43:40 <chen>	xtian, updates?
Sep 21 11:43:48 <xtian>	speedup work for evolution-kolab core this week (still for 2.30), porting to git master starts by end of next week (with plannings going on for a while already)
Sep 21 11:44:08 <chen>	xtian, thanks!!
Sep 21 11:44:39 <chen>	anything else from anyone before we conclude ?
Sep 21 11:44:45 <lakhil>	as we are doing planning for 3.4, just curious do we foresee any effort for little bit UI revamp in 3.3.x ? for reference http://afaikblog.wordpress.com/2010/11/25/evolution-re-evolved/ ?
Sep 21 11:45:25 <chen>	lakhil, its here https://live.gnome.org/Evolution/Planning34
Sep 21 11:45:45 <chen>	lakhil, not sure if anyone is on it
Sep 21 11:45:45 <mbarnes>	there's probably bits and pieces of that we could take.  also some stuff in express mode still needs merged
Sep 21 11:45:56 <mbarnes>	particularly, account setup and the tabbed comp editor
Sep 21 11:46:21 <chen>	mbarnes, would it be good to add it to planning page?
Sep 21 11:46:40 <lakhil>	sure, thanks
Sep 21 11:47:00 <mbarnes>	chen: only if someone volunteers.  I think I'm booked solid already for 3.4
Sep 21 11:47:13 <chen>	mbarnes, i can understand
Sep 21 11:47:33 <chen>	btw any ideas for celebrating the 3.2 release together online ? :)
Sep 21 11:47:34 <xtian>	i've hacked up a list of changes since 2.30 as discussed on e-h list (and posted it there), so if anyone is interested to check it
Sep 21 11:47:44 <xtian>	\o/
Sep 21 11:48:15 <chen>	xtian, sure
Sep 21 11:48:58 <chen>	lets think about the celebration later.. happy 3.2 release!!
Sep 21 11:49:09 *	mbarnes celebrates by closing IRC and sleeping in  :)
Sep 21 11:49:15 <xtian>	chen: if anyone has some spare time to cross-check whether i've missed something ... mbarnes was kind enough to skim through it
Sep 21 11:49:16 <chen>	hehe
Sep 21 11:49:46 <chen>	xtian, i can do it sometime next week, plz remind me :)
Sep 21 11:50:16 <xtian>	chen: okay, will do. this should help me porting evo-kolab ... which will be *fun*. :)
Sep 21 11:50:20 <dwmw2>	what do people think about putting activesync on git.gnome.org
Sep 21 11:50:38 <dwmw2>	given http://git.infradead.org/activesyncd.git/blob/HEAD:/README
Sep 21 11:50:56 <dvratil>	chen, is there already some approximate date for 3.4  release? 
Sep 21 11:51:11 *	mcrha is now known as mcrha|afk
Sep 21 11:51:23 <chen>	dvratil, should be in next 6 months time
Sep 21 11:51:26 <mbarnes>	dwmw2: if it's free software and relates to gnome, go for it
Sep 21 11:51:30 <dvratil>	chen, thanks
Sep 21 11:52:24 <chen>	Lets then meet next month while coding for 3.4!! thanks everyone!!
Sep 21 11:52:25 <lakhil>	dvratil, https://live.gnome.org/ThreePointThree , still a draft, not the final schedule
Sep 21 11:52:33 <xtian>	thanks chen 
