Jul 14 11:32:07 <chen>	ok lets get started..
Jul 14 11:50:08 <chen>	dwmw2, but atm i feel its better in eds ignoring my packaging thing
Jul 14 11:50:36 <chen>	Fridrich, do you have any opinions here?
Jul 14 11:51:22 <chen>	dwmw2, maybe we will discuss out on the mailing list as well and bring it to a conclusion with action..
Jul 14 11:51:41 <dwmw2>	yeah
Jul 14 11:51:42 <chen>	thats the one item i had for discussion here..
Jul 14 11:51:54 <chen>	anything else from anyone before we move on with individual updates?
Jul 14 11:52:19 <chen>	abharath, so finalized on the mapi versioning ? :)
Jul 14 11:52:52 <chen>	abharath, +updates?
Jul 14 11:53:02 <chen>	updates from my side,
Jul 14 11:53:15 <chen>	some bug fixes, imapx connection manager, need to get started on maildir stuff, some cool demos/talks to our md (evo propoganda) :)
Jul 14 11:53:43 <abharath>	chen: nothing much to add
Jul 14 11:53:43 <chen>	Let me now paste the updates from mbarnes|away 
Jul 14 11:54:02 <chen>	I've been causing lots of trouble in Camel lately:
Jul 14 11:54:02 <chen>	I replaced CamelException with GError,
Jul 14 11:54:02 <chen>	and added a bunch of runtime checks to make sure return values and GErrors agree,
Jul 14 11:54:02 <chen>	there's also the issue of how Camel indicates success or failure,
Jul 14 11:54:02 <chen>	in that half the API returns 0/-1, the other half returns TRUE/FALSE,
Jul 14 11:54:02 <chen>	I'd like to more entirely to TRUE/FALSE, but that's a pretty devious API change,
Jul 14 11:54:04 <chen>	it will have to be done very carefully, and with lots of fanfare on evo-hackers,
Jul 14 11:54:06 <chen>	my next projects are:
Jul 14 11:54:08 <chen>	dismantle ~/.evolution and migrate data to relocatable XDG base dirs,
Jul 14 11:54:10 <chen>	then, start on GSettings migration + keyfile-based account storage,
Jul 14 11:54:12 <chen>	and after 3.0: get serious about WebKit.
Jul 14 11:54:23 <chen>	so webkit is going to be after 3.0
Jul 14 11:54:44 <abharath>	ok I was about to ask about webkit :)
Jul 14 11:54:46 <chen>	vibha - on vacation for this week. Moved the groupwise code out of evo+eds.. (chen - now i wonder if its required)..
Jul 14 11:54:58 <chen>	Corsac, anything to share?
Jul 14 11:55:28 *	chen would be reviewing vibha's thunderbird filter migration patch and patches from jpunit this week..
Jul 14 11:55:34 <chen>	dwmw2, updates?
Jul 14 11:56:14 <chen>	Fridrich, updateS?
Jul 14 11:56:23 <chen>	sorry for the 's'
Jul 14 11:56:29 <dwmw2>	nothing exciting.
Jul 14 11:56:44 <chen>	dwmw2, oh no thats the last thing i expected :)
Jul 14 11:56:46 <dwmw2>	going to crawl back under my rock and play with ews stuff for a while, as soon as I'm done with the reply bits I've been looking at
Jul 14 11:57:02 <chen>	dwmw2, nice :)
Jul 14 11:57:08 <chen>	jpunit, updates?
Jul 14 11:57:12 <dwmw2>	well, I have my Exchange calendar synced to local files using the EWS protocol. You can be excited by that if you like
Jul 14 11:57:32 <dwmw2>	But I'm not suggesting that we ditch evolution-mapi *quite* yet :)
Jul 14 11:57:34 <chen>	dwmw2, definetly exited :)
Jul 14 11:57:43 <chen>	dwmw2, you have made abharath happy now :)
Jul 14 11:58:03 <jpunit>	Merged and worked on Slusny's EDS optmization patches and it is working fine now
Jul 14 11:58:13 <chen>	dwmw2, btw your going to convert that script in to C lib.  ?
Jul 14 11:58:30 <abharath>	whatever is fast and working great, I am fine with it :)
Jul 14 11:58:36 <chen>	jpunit, nice, will get those stuff reviewed this week and we can get that in..
Jul 14 11:58:48 <chen>	kov, anything to share?
Jul 14 11:58:53 <chen>	lakhil, updates?
Jul 14 11:58:54 <jpunit>	chen: yes .. 
Jul 14 11:58:59 <dwmw2>	chen: nah, I was going to do shell language bindings for evo...
Jul 14 11:59:14 <lakhil>	chen, bug triaging, sanity and tarball testing of dot releases, tested public calendar / address book support in MAPI,  tested Gerror changes
Jul 14 11:59:19 <chen>	dwmw2, more interesting :)
Jul 14 11:59:29 *	chen exited to see that :)
Jul 14 11:59:48 <chen>	lakhil, thanks and imapx con_man is added to ur list now i guess :)
Jul 14 12:00:13 *	jpunit is now known as jpunit|away
Jul 14 12:00:16 <lakhil>	after guadec :)
Jul 14 12:00:17 <chen>	anything else from anyone?
Jul 14 12:00:18 *	dave_largo (~drichard@207.22.154.8) has joined #evolution-meet
Jul 14 12:00:22 <chen>	hey dave_largo 
Jul 14 12:00:26 <abharath>	Its definitely added to dwmw2's list ;)
Jul 14 12:00:35 <chen>	this is the last meeting before GUADEC :)
Jul 14 12:00:44 <chen>	dwmw2, will you be there for GUADEC?
Jul 14 12:00:48 <dwmw2>	wasn't planning to be
Jul 14 12:01:01 <chen>	dave_largo, we were just going through individual updates..
Jul 14 12:01:33 *	chen gets reminded of the pdf drag+drop patch
Jul 14 12:01:43 *	chen adds it to the review list
Jul 14 12:01:51 <dave_largo>	I would like to get that merged please, while the code will go in
Jul 14 12:01:58 <chen>	dwmw2, would be great if you join, even for a day :)
Jul 14 12:02:02 <dave_largo>	chen, don't forget to merge the second patch which eliminated the deadlock
Jul 14 12:02:13 <chen>	dave_largo, sure
Jul 14 12:02:23 <dave_largo>	pdf drop and drag is amazing and works great
Jul 14 12:02:24 <chen>	dave_largo, anything else?
Jul 14 12:02:29 <dwmw2>	in Den Haag? 
Jul 14 12:02:33 <chen>	yeah
Jul 14 12:02:35 <dwmw2>	hm, I may manage that
Jul 14 12:02:44 <chen>	dwmw2, would be great!!
Jul 14 12:02:53 *	dwmw2 checks his calendar... by grepping the XML files in the directory
Jul 14 12:02:56 <dave_largo>	Just a flow of crashers, hopefully we can hit those soon and get some patches upstream
Jul 14 12:02:56 <dwmw2>	some work required on this :)
Jul 14 12:03:03 <chen>	dwmw2, will send you the schedule of our evo talks as well
Jul 14 12:03:28 <chen>	dave_largo, will be working on those after some patch reviews
Jul 14 12:03:52 <chen>	dave_largo, primarily the crashers first
Jul 14 12:04:05 <dave_largo>	chen, you are so talented, I know you could knock these out quickly.  
Jul 14 12:04:30 <chen>	dave_largo, lol your are great manager :)
Jul 14 12:04:41 <abharath>	dave_largo: that's the magic of beer, not the talent :)
Jul 14 12:04:43 <lakhil>	:D
Jul 14 12:05:00 <dave_largo>	LOL....crashers and the deadlock
Jul 14 12:05:03 <chen>	oh oh /me becomes silent :)
Jul 14 12:05:09 <dave_largo>	and then re-merge the ics code please
Jul 14 12:05:12 <lakhil>	abharath, dave_largo would be happy to send a beer tanker if he gets all crashes fixed :)
Jul 14 12:05:13 <chen>	sure
Jul 14 12:05:22 <abharath>	lol
Jul 14 12:05:32 <dave_largo>	Deadlocks are about 85% always when re-saving changes to a meeting or appointment
Jul 14 12:05:32 <chen>	anything else from anyone apart from beers :D
Jul 14 12:05:57 <chen>	dave_largo, please send the gdb traces when the dead-lock happens..
Jul 14 12:06:08 <dave_largo>	It's already submitted to the bug report
Jul 14 12:06:12 <dave_largo>	this one is happening a lot:
Jul 14 12:06:15 <dave_largo>	#12 0x00007fe00a779797 in attendee_editing_canceled_cb (
Jul 14 12:06:16 <dave_largo>	    renderer=<value optimized out>, view=0x19f1030)
Jul 14 12:06:16 <dave_largo>	    at e-meeting-list-view.c:473
Jul 14 12:06:16 <chen>	dave_largo, ah ok, i will check it out
Jul 14 12:06:43 <chen>	dave_largo, i have not yet gone through all the bugs, will be starting on Friday or next week..
Jul 14 12:06:55 <dave_largo>	chen, I'll send the beer for real, or take you guys on roller coasters.
Jul 14 12:06:59 <dave_largo>	Busch Gardens on me
Jul 14 12:07:05 <chen>	lol :)
Jul 14 12:07:10 <dave_largo>	Busch Gardens has a beer garden
Jul 14 12:07:36 <chen>	dave_largo, i can answer here due to COBE but definetly lets have it as a secret :)
Jul 14 12:07:42 <chen>	*cant
Jul 14 12:08:13 <dave_largo>	so crashers + ics + deadlocks and we will be in much better shape.
Jul 14 12:08:13 <chen>	Thats it for this meeting and lets have more fun after GUADEC :)
Jul 14 12:08:18 <dave_largo>	later
Jul 14 12:08:31 <chen>	Thanks everyone!!

