Jan 06 10:44:23 <chen>	hi all 
Jan 06 11:01:11 <chen>	Muelli, upgrade path?
Jan 06 11:01:19 <chen>	Muelli, have any bug filed?
Jan 06 11:01:20 <Muelli>	chen: https://bugzilla.gnome.org/show_bug.cgi?id=600861
Jan 06 11:01:24 <treitter>	I'm also hoping for a review from davidz, since there's a minor issue that prevents us from ripping out dbus-glib entirely
Jan 06 11:01:32 <treitter>	I'll ping him again
Jan 06 11:01:33 *	chen looks at it
Jan 06 11:01:36 <Muelli>	not upgrade. Backup/restore I mean
Jan 06 11:01:44 *	Muelli just got up...
Jan 06 11:02:05 <chen>	Muelli, fine will look over it after the meeting
Jan 06 11:02:17 <chen>	treitter, fine
Jan 06 11:02:48 <chen>	anything else to be discussed ?
Jan 06 11:03:12 <chen>	Next week then at the same time :)
Jan 06 11:03:29 <chen>	hopefully xchat does not cheat me next time ;)
Jan 06 11:03:41 *	lakhil (~lakhil@117.192.28.218) has joined #evolution-meet
Jan 06 11:03:42 <chen>	Thank you everyone!!
Jan 06 11:03:46 <chen>	hey lakhil 
Jan 06 11:03:53 <lakhil>	hi chen 
Jan 06 11:03:59 <lakhil>	meeting over ?
Jan 06 11:04:02 <chen>	lakhil, ur right at the end of the meeting :)
Jan 06 11:04:11 <lakhil>	:-P
Jan 06 11:04:19 <lakhil>	just back from dinner 
Jan 06 11:04:24 <chen>	lakhil, but u can always update us :)
Jan 06 11:04:48 <chen>	lakhil, congrats for being the top bug closer of 2009!!
Jan 06 11:05:03 <lakhil>	bug triaging mostly last week ... learning to build packages :-)
Jan 06 11:05:11 <lakhil>	chen, thanks 
Jan 06 11:05:12 <chen>	wow nice :)
Jan 06 11:06:07 *	andre wonders if he can trick mbarnes again into three days of libgnomecanvas killing for 2.30
Jan 06 11:07:04 *	mbarnes wonders too  ;)
Jan 06 11:07:13 <chen>	:)
Jan 06 11:07:22 <lakhil>	:D
Jan 06 11:07:57 <chen>	lakhil, now the meeting is over :)
Jan 06 11:08:08 <lakhil>	sure
Jan 06 11:09:24 <andre>	treitter: gdbus and gvariant are not yet in GLib?! sigh
Jan 06 11:10:13 *	andre has an ancient post-it here saying "week 36 of 2009" for that :-(
Jan 06 11:10:29 *	chen is now known as chen|brb
Jan 06 11:13:08 <treitter>	andre: not the last time I checked
Jan 06 11:13:12 <andre>	garr
Jan 06 11:13:43 <andre>	glib and gtk are such a... fscking slow area
Jan 06 11:13:47 <treitter>	I had to install the "gsettings" branch of glib, not the gvariant one, since they had slightly different versions of gvariant
Jan 06 11:13:58 <treitter>	and the master branch didn't have it at all, or something
Jan 06 11:14:18 <treitter>	and I had to use the gdbus-standalone repo
Jan 06 11:15:00 <mbarnes>	andre: moreso glib and gobject

