Dec 03 05:03:57 <srag_>	Hello guys
Dec 03 05:17:11 *	mcrha heard that already, couple of times
Dec 03 05:17:35 <srag_>	mcrha, I know, but you must know that at times, SLE/RHE's would take your times force-fully :-)
Dec 03 05:17:45 <srag_>	with out leaving a choice
Dec 03 05:17:58 <mcrha>	sure, no problem.
Dec 03 05:18:01 <srag_>	thanks
Dec 03 05:18:06 <srag_>	psankar, anything to share with us ?
Dec 03 05:18:15 <psankar>	srag_, nothing much. ususal week
Dec 03 05:18:27 <srag_>	seb128, anything to share with us ?
Dec 03 05:19:03 <seb128>	srag_: not this week, you did a good summary of the current issues
Dec 03 05:19:11 <seb128>	nothing to add to that
Dec 03 05:19:23 <chen>	mcrha, is it more for patch reviews or are you see'ing any critical issues which needs my attention at the moment ?
Dec 03 05:19:26 <srag_>	seb128, I have made these issues to my SLE stuff, that sort of allows to find itme to pull to these
Dec 03 05:19:27 <seb128>	I'll try to get somebody to join the chan who has the unread vfolder update issue
Dec 03 05:19:37 <srag_>	seb128, that would be great
Dec 03 05:20:17 <srag_>	Anything else guys?
Dec 03 05:20:40 <mcrha>	chen, it depends, I see long pending easy patches for crashers, I see some issues after ECalModel rewrite, which are cause by "backend busy" (for example the left-bottom calendar not updated because of this), sometimes dayview isn't.
Dec 03 05:20:43 <srag_>	Ok, see you all next week. 
Dec 03 05:20:44 <srag_>	Bye
Dec 03 05:21:56 <jony>	later .. . 
Dec 03 05:21:57 *	jony (~jjohnny@ecoprobe-dmz.gns.novell.com) has left #evolution-meet
Dec 03 05:22:02 *	seb128 (~seb128@ANancy-258-1-105-108.w90-56.abo.wanadoo.fr) has left #evolution-meet
Dec 03 05:22:40 <chen>	mcrha, for the "backend busy", I will get a patch soon.. I will see if suman can review those patches if they are trivial (he is on leave today), will speak up with him tomorrow on the same..
Dec 03 05:23:03 <mcrha>	ok chen, thanks
Dec 03 05:24:12 <chen>	srag_, If they are trivial enough, I guess one of them mailer or you can also review it :-)
Dec 03 05:24:46 <srag_>	chen, I'm doing my part, and I leave some pieces for your eyes only, if Im not so sure
Dec 03 05:25:30 <chen>	srag_, fine, please put suman also on the loop..
Dec 03 05:26:10 <srag_>	chen, sure dude

