Dec 16 10:31:28 <chen>	General project update,
Dec 16 10:51:41 <chen>	treitter, ok
Dec 16 10:51:42 <treitter>	if anything, it feels slightly faster
Dec 16 10:51:55 <chen>	nice nice!!
Dec 16 10:52:08 <treitter>	and it's possible, with effort, we could make it even faster. GDBus is more geared toward doing things async than dbus-glib is
Dec 16 10:52:29 <chen>	treitter, cool :)
Dec 16 10:52:43 <treitter>	but I don't have any plans to do that, since getting the port done is my highest priority right now :)
Dec 16 10:52:44 <chen>	treitter, btw how come there are issues with functionality,
Dec 16 10:52:58 <chen>	when only the transport mechanism has changed ?
Dec 16 10:53:17 <treitter>	chen: it's directly an issue with gdbus
Dec 16 10:53:30 <treitter>	either I was misuing it or it's got a bug or two
Dec 16 10:53:31 <chen>	ah ok
Dec 16 10:53:47 <chen>	ok
Dec 16 10:53:58 <treitter>	but I don't think there have been any real-world apps using it yet, so I may be pushing it where it hasn't been tested yet
Dec 16 10:54:05 <treitter>	it's been surprisingly smooth though
Dec 16 10:54:32 <chen>	treitter, agree evo can be a real test for it :)
Dec 16 10:54:49 <chen>	anything else to be discussed from anyone ?
Dec 16 10:55:31 <chen>	Lets catch up next week with more interesting stuff :)
Dec 16 10:55:37 <chen>	Thanks everyone!!

