Apr 22 06:04:51 <srag>	Hello guys
Apr 22 06:19:20 <abharath>	mcrha: sure. will take a look
Apr 22 06:19:37 <abharath>	ya I took a look at it too. Sweet
Apr 22 06:19:38 <mcrha>	srag, jony, external deps on libmapi, I had a chat with kerihuel and he would like to meet together, some day.
Apr 22 06:19:50 <srag>	sure
Apr 22 06:20:04 <srag>	mcrha, we can meet some time
Apr 22 06:20:15 <mcrha>	not sure when yet, but you'll definitely notice when it will be
Apr 22 06:20:28 <srag>	mcrha, anything for us ?
Apr 22 06:20:41 <mcrha>	apart of the above nothing special, just some bugs, I think. But I would like to know the answer on my question I gave you yesterday: will there be anyone looking for approved patches and commit them to the repo before release, as Suman used to do that?
Apr 22 06:21:15 <srag>	mcrha, ideally I want to discourage that 
Apr 22 06:21:31 <srag>	but I would still do that just before the release
Apr 22 06:21:35 <srag>	just not to miss something
Apr 22 06:21:36 <mcrha>	discourage at all? why?
Apr 22 06:21:44 <srag>	mcrha, it was a request from psankar
Apr 22 06:22:02 <srag>	for doing things like copyright assignments etc, the commit/author is very crucial
Apr 22 06:22:31 <srag>	with git, it might work well
Apr 22 06:22:37 <mcrha>	makes sense, sometimes dev didn't get in time to commit approved thing so why not. Ideally a bit longer than just before release, but if one doesn't check so often
Apr 22 06:22:40 <srag>	since we can commit on someone else's behalf
Apr 22 06:22:56 <srag>	such things, I would commit before the release
Apr 22 06:23:01 <mcrha>	similar you could with svn I guess
Apr 22 06:23:13 <srag>	mcrha, not sure.. in svn, you don't have author, 
Apr 22 06:23:15 <jony>	mcrha, nope . not possible with svn . 
Apr 22 06:23:18 <srag>	it takes the svn ID 
Apr 22 06:23:30 <mcrha>	anyway, do not talk about git...
Apr 22 06:23:33 <jony>	hehe 
Apr 22 06:23:34 <srag>	git, you can commit on anyone's behalf as the --author does it
Apr 22 06:23:35 <srag>	:)
Apr 22 06:23:49 <srag>	seb128, anything to share with us ?
Apr 22 06:23:55 <seb128>	srag: you can write "the patch is from ..." in the commit message too
Apr 22 06:24:10 <mcrha>	not talking about bug and patch submitter there
Apr 22 06:24:18 <seb128>	jony: btw thanks for not mentionning me at all in this crasher fix I tracked before 2.26.1 
Apr 22 06:24:33 <mcrha>	srag, oh, also, will there be some exact policy in changelog format finally?
Apr 22 06:24:41 <seb128>	srag: not really, jaunty will be stable tomorrow and has 2.26.1, feedback seems good so far, still some crashers
Apr 22 06:25:05 <srag>	mcrha, I would like to set some policy, something to ease out the NEWS generation
Apr 22 06:25:13 <srag>	mcrha, do you have some thoughts ?
Apr 22 06:25:15 <seb128>	and evolution-mapi is just not working, it's a mess right now, you need to right version of samba4, openchange, etc in a combinaison nobody knows about to get it working apparently
Apr 22 06:25:23 <srag>	seb128, thatz good news
Apr 22 06:25:30 <mcrha>	srag, jut asking, preferable all write same format, whatever it'll be
Apr 22 06:25:35 <srag>	seb128, if there are any *blockjers* or similar category
Apr 22 06:25:36 <srag>	lemme know
Apr 22 06:25:50 <srag>	mcrha, sure. I would like to have some uniformity
Apr 22 06:26:01 <srag>	mcrha, NEWS generation is a pain 
Apr 22 06:26:11 <srag>	specially there are approx 50 bugs every release
Apr 22 06:26:21 <seb128>	srag: no real blocker right now I would say
Apr 22 06:26:26 <srag>	seb128, gr8
Apr 22 06:26:30 <seb128>	out of evolution-mapi not working
Apr 22 06:26:33 <mcrha>	srag, me too, and with such policy we will be able to punish those "bad guys/gals" ;)
Apr 22 06:26:37 <seb128>	but I guess that's expected, it's still new
Apr 22 06:26:41 <srag>	mcrha, awesome.
Apr 22 06:26:59 <srag>	lemme put one by friday to u and we can discuss and mandate it
Apr 22 06:27:02 <srag>	some how :)
Apr 22 06:27:05 <mcrha>	yeah yeah, punishment is always awesome ;)
Apr 22 06:27:08 <srag>	:)
Apr 22 06:27:16 <srag>	seb128, right
Apr 22 06:27:22 <srag>	there are memory  issues
Apr 22 06:27:26 <abharath>	mcrha: :D
Apr 22 06:27:37 <srag>	but jony is our superhero there :)
Apr 22 06:27:41 <seb128>	srag: well in jaunty it's just crashing evolution for most users when trying to add an account
Apr 22 06:27:50 <srag>	oh
Apr 22 06:28:04 <srag>	jony, u aware of those ?
Apr 22 06:28:09 <seb128>	rumours say openchange 0.8.2 might fix it but 0.8 to 0.8.2 is not a trivial update
Apr 22 06:28:17 <seb128>	and it was too late for jaunty
Apr 22 06:28:25 <mcrha>	srag, there is also some discussion on generated changelog entries, not sure how much usable for evo family though. I do not know why exactly, but I do not like the kernel/git way, somehow
Apr 22 06:28:28 <jony>	srag, it sounds like the the crashed we faced in some builds . samba3 / samba4 symbols getting mixed up . 
Apr 22 06:28:51 <srag>	mcrha, sure
Apr 22 06:29:00 <srag>	seb128, right
Apr 22 06:29:11 <srag>	seb128, we would move to 0.8.2 or so with 2.28
Apr 22 06:29:26 <srag>	thatz the plan
Apr 22 06:29:26 <jony>	seb128, which crashed ? (btw thanks for not mentionning me at all in this crasher fix I tracked before 2.26.1) 
Apr 22 06:29:26 <srag>	not sure, if in stable we can do it
Apr 22 06:29:36 <srag>	need to check with andre & release team, if thatz possible on the stable series
Apr 22 06:29:38 <seb128>	jony: http://bugzilla.gnome.org/show_bug.cgi?id=578685
Apr 22 06:29:40 <srag>	to update external deps
Apr 22 06:30:03 <jony>	seb128, oh . oki. 
Apr 22 06:30:24 <seb128>	jony: that's a detail don't worry ;-)
Apr 22 06:30:29 <andre>	srag, sure it is - send an email to d-d-l asking for this
Apr 22 06:30:42 <srag>	andre, nice.. lemme take this up then :)
Apr 22 06:30:49 <jony>	srag, but i would like to run a full test before asking for this in d-d-l . 
Apr 22 06:30:55 <srag>	jony, deal
Apr 22 06:30:59 <abharath>	makes sense
Apr 22 06:31:02 <srag>	lets discuss on the level of changes
Apr 22 06:31:11 <srag>	and then we make a proposal and do it
Apr 22 06:31:16 <jony>	srag, sure .
Apr 22 06:31:17 <andre>	srag, see http://live.gnome.org/TwoPointTwentyseven/ExternalDependencies
Apr 22 06:31:20 <srag>	anything else to discuss guys ?
Apr 22 06:31:33 <srag>	andre, I wanted to update for stable series
Apr 22 06:31:37 <srag>	for 2.26.2
Apr 22 06:31:51 <andre>	doesnt matter
Apr 22 06:32:07 <srag>	nice then
Apr 22 06:32:14 <srag>	thanks for the pointer andre 
Apr 22 06:32:21 <mcrha>	how will you generate tarballs next week when they will not fix repo before?
Apr 22 06:32:35 <srag>	mcrha, that was my first *wish*
Apr 22 06:32:52 <srag>	mcrha, :)
Apr 22 06:32:53 <mcrha>	mine too, git is just broken and too complicated ;)
Apr 22 06:32:56 <seb128>	srag: that will not work for distributor though, you can't expect them to be able to doing random updates to a new version in stable series this way
Apr 22 06:33:11 <jony>	seb128, evolution-mapi : for account setup crasher : imho .. it is not a bug in upstream . 
Apr 22 06:33:16 <seb128>	srag: openchange 0.8 to 0.8.2 is not a stable update
Apr 22 06:33:32 <srag>	seb128, first I would like to see my self on level of changes
Apr 22 06:33:36 <seb128>	jony: we just do ./configure && make && make install DESTDIR
Apr 22 06:33:41 <srag>	if there are any samba changes or just mapi patches
Apr 22 06:33:52 <srag>	only if I feel comfortable on changes, Im gonna ask
Apr 22 06:33:53 <seb128>	jony: where would be the bug?
Apr 22 06:33:57 <seb128>	srag: ok thanks
Apr 22 06:34:03 <srag>	sure
Apr 22 06:34:08 <srag>	Ok guys, thanks a lot and see you all next week
Apr 22 06:34:10 <srag>	bye
Apr 22 06:34:19 <abharath>	Bye all
Apr 22 06:34:22 <mcrha>	jony, Kerihuel said there had been some changes in 0.8.2 related and that he cannot reproduce on that version
Apr 22 06:34:27 <jony>	seb128, anyhoo .. i'll look at those logs in launchpad .. let see .. but have some other work here .. so it would take sometime .. 
Apr 22 06:34:44 <jony>	mcrha, does this happen in fedora too ? 
Apr 22 06:34:45 <seb128>	jony: no hurry jaunty is frozen now so we will not change that for it now
Apr 22 06:34:51 <mcrha>	jony, not for me
Apr 22 06:34:57 <jony>	mcrha, okies .

