Feb 20 05:09:07 <srag>	Hello every one
Feb 20 05:20:55 <psankar>	srag, automatic-new-line +1
Feb 20 05:20:57 <srag>	mcrha, sure you are welcome to fill it up :)
Feb 20 05:21:17 <srag>	psankar, I have heard so many complaints and so I'm making it only for topposting enabled composers
Feb 20 05:21:26 <psankar>	srag, right :)
Feb 20 05:21:41 <mcrha>	should be simple fix, I guess
Feb 20 05:21:42 <srag>	schooms, anything to share with us?
Feb 20 05:21:53 <srag>	mcrha, yeah.. I'm just looking for the bug id
Feb 20 05:21:59 <schooms>	working on meetings for MAPI srag.. 
Feb 20 05:22:11 <schooms>	i've put up the hack week stuff as bugs already.. 
Feb 20 05:22:37 <srag>	schooms, good job on your recent files thingy for composer
Feb 20 05:22:42 <srag>	I'm sure that it will be a lot useful
Feb 20 05:22:54 <schooms>	thanks !!
Feb 20 05:23:06 <srag>	srinidhi, anything to share with us ?
Feb 20 05:23:18 <srinidhi>	srag: nothing much
Feb 20 05:23:30 <srinidhi>	I mean, nothing from my side.. :)
Feb 20 05:24:11 <srag>	Guys dont forget to vote for your favorite name
Feb 20 05:24:22 <srag>	Get most of the patches reviewed
Feb 20 05:24:31 <srag>	and dont break anything new :)
Feb 20 05:24:45 <srag>	Anything else to discuss ?
Feb 20 05:24:51 <mcrha>	can we break anything old ?
Feb 20 05:24:56 <psankar>	lol
Feb 20 05:24:59 <srag>	mcrha, hehe
Feb 20 05:25:22 <chen>	lol
Feb 20 05:25:24 <psankar>	mcrha, u mean breakign something already broken ? ;)
Feb 20 05:25:40 <srag>	psankar, that may mean fixing ;-)
Feb 20 05:25:50 <psankar>	:)
Feb 20 05:25:58 <srag>	Ok guys. lets get back to fixing
Feb 20 05:26:02 <srag>	Have a focus on stacktrace bugs
Feb 20 05:26:09 <srag>	See you all next week. bye
Feb 20 05:26:21 <psankar>	Bye All

