Jun 29 11:35:17 <chen>	Lets get started...
Jun 29 11:57:27 <chen>	mcrha, got it
Jun 29 11:57:28 <mcrha>	just do not make evo code 80 letters long-line code, please. this is really 21st century :)
Jun 29 11:57:38 <chen>	lol
Jun 29 11:58:01 <mcrha>	and to answer chen, I do not know why other project still forces 80 line length
Jun 29 11:58:16 <mcrha>	mine terminal has about 180-letter lines
Jun 29 11:58:24 <mcrha>	err, 160
Jun 29 11:58:24 <xtian>	hysterical raisins mostly, i would suspect
Jun 29 11:58:35 <chen>	yeah
Jun 29 11:58:55 <mcrha>	xtian, hysterical or historical? ;)
Jun 29 11:59:19 <chen>	and reasons :)
Jun 29 11:59:53 <chen>	mcrha, we could think over a bit and make some suggestions on these lines and follow the same across..
Jun 29 12:00:16 <chen>	anything else before we go for individual updates?
Jun 29 12:00:16 <mcrha>	yup, I agree. Feel free to move on with the meeting
Jun 29 12:00:20 <chen>	mcrha, sure
Jun 29 12:00:51 <chen>	completed the sqlitedb for address-book. caching for personal address-book + gal (in progress),
Jun 29 12:00:52 *	xtian , not being much of an evo coder, tries to keep the lines (a) short and (b) logically cohesive, with (b) slightly superseeding (a)
Jun 29 12:01:16 <chen>	just got the code in for create/delete contacts, while create for some reason does not get any response from server..
Jun 29 12:02:03 <chen>	gal caching, decompression is done while i have to parse the contents and store it inside db to complete the stuff..
Jun 29 12:02:09 <chen>	thats it from my side..
Jun 29 12:02:16 <chen>	abharath, updates?
Jun 29 12:02:28 <chen>	kov, hggdh anything to share?
Jun 29 12:02:42 <hggdh>	chen: not from here, been away for a while
Jun 29 12:02:57 <chen>	hggdh, np
Jun 29 12:03:04 <chen>	jpunit, updates?
Jun 29 12:03:15 <abharath>	chen: mostly downstream. Just busy with some Desktop Summit work. Nothing else
Jun 29 12:03:25 <chen>	abharath, thanks
Jun 29 12:03:32 <chen>	lakhil, updates?
Jun 29 12:04:02 <chen>	mbarnes, updates?
Jun 29 12:04:21 <lakhil>	chen, random testing on master, bug triaging and today have started testing evolution-ews
Jun 29 12:04:35 <mbarnes>	I'm 2/3 done with GNOME Online Accounts integration for Google accounts
Jun 29 12:04:35 <mbarnes>	should finish OAuth support for Google Calendars today or tomorrow
Jun 29 12:04:35 <mbarnes>	I'll blog about it once it works as well as it's gonna for 3.2
Jun 29 12:04:35 <mbarnes>	then I'll be getting back to my account-mgmt branch
Jun 29 12:04:35 <mbarnes>	which is increasingly looking like 3.3 material
Jun 29 12:04:35 <chen>	lakhil, thanks
Jun 29 12:05:09 <jpunit>	chen: worked mostly on downstream bugs
Jun 29 12:05:10 <chen>	mbarnes, thanks
Jun 29 12:05:19 <chen>	jpunit, thanks
Jun 29 12:05:22 <chen>	mcrha, updates?
Jun 29 12:05:47 <mcrha>	Hmm, what did I do, in the past month+a bit, hmm, oh, I know, I broke evo with the EClient changes, it's using EClient and does not use EBook/ECal anymore. If you feel the calendar is significantly slower, then you've the right feeling. Pity, it's all mostly sync calls, and that the calendar is extensively fetching backend properties, more than once. It'll need more thinking, I'm afraid, some client-side caching
Jun 29 12:05:48 <chen>	mbarnes, sounds reasonable on account-mgmt-stuff..
Jun 29 12:06:16 <chen>	mcrha, :)
Jun 29 12:06:16 <mcrha>	the slowness is because the waiting to done signal from the server, if you are  wondering.
Jun 29 12:06:32 <lakhil>	mbarnes, so will webkit migration be moved to 3.3 too ?
Jun 29 12:06:37 <chen>	mcrha, server = eds ?
Jun 29 12:06:45 <mcrha>	yup, from eds
Jun 29 12:07:27 <rodrigo>	and, what's the status of the gsettings migration? I see the code jsut uses gsettings for desktop-wide settings
Jun 29 12:07:28 <mbarnes>	lakhil: always was 3.3, haven't touched that branch for a year, unfortunately
Jun 29 12:07:46 <chen>	mcrha, caching and maybe the backend could signal on changes ?
Jun 29 12:07:48 <mcrha>	the process is: client asks to do something, server receives it and confirms "I'm on it", then client waits for a "done" signal, which server sends when the operation is really over.
Jun 29 12:08:06 <mcrha>	chen, yup, something along those lines
Jun 29 12:08:11 <lakhil>	mbarnes, ok, thanks for the information
Jun 29 12:08:21 <chen>	mcrha, fine
Jun 29 12:08:37 <mbarnes>	rodrigo: I had hoped to migrate everything at once, but we could probably migrate simple keys over now.  we'll still be relying on GConf for 3.2 regardless.
Jun 29 12:08:38 <mcrha>	at least for backend properties, as they are called
Jun 29 12:09:00 <rodrigo>	mbarnes, relying on gconf for what? the accounts?
Jun 29 12:09:07 <mbarnes>	rodrigo: yes
Jun 29 12:09:12 <chen>	mcrha, cool
Jun 29 12:09:23 <rodrigo>	mbarnes, ok, so my branch to migrate the schemas was never merged, right?
Jun 29 12:09:29 <mcrha>	lakhil, mbarnes, dvratil is on the webkit, his summer job
Jun 29 12:09:53 <mbarnes>	rodrigo: right, needs rebased now.  sorry it's taken so long.
Jun 29 12:10:17 <rodrigo>	mbarnes, no problem, it doesn't make sense to merge it if it's not used
Jun 29 12:10:36 <rodrigo>	so I'll rebase it and maybe I can get some time to start migrating to gsettings some simple keys
Jun 29 12:10:48 <lakhil>	mcrha, is he extending the work started by mbarnes ?
Jun 29 12:10:57 <mcrha>	lakhil, yup, he is
Jun 29 12:11:01 <rodrigo>	well, iirc, most keys could be migrated, except the acocunts and some other stuff I don't remember right now
Jun 29 12:11:29 <chen>	rgs, anything to share?
Jun 29 12:11:40 <mcrha>	lakhil, he's supposed to ask for commit rights to git, to have a central place and a possibility to update the webkit branch
Jun 29 12:11:49 <rgs>	chen: folks' e-d-s backend to be released on Aug/1st :)
Jun 29 12:12:01 <rgs>	hope to see some of you guys at the DesktopSummit maybe? :)
Jun 29 12:12:13 <mbarnes>	rodrigo: I got all the XML blobs covered, including signatures.  some string lists might still be nasty.
Jun 29 12:12:18 <chen>	rgs, nice :)
Jun 29 12:12:29 *	chen may not be there this time..
Jun 29 12:12:43 <mcrha>	ouch, chen, I forgot of one thing, I'll be away fo rthe next three weeks. I'll try to do evo-mapi release on Friday, but in case I would forget, I would like to ask abharath to make a release instead of me. it'll be clear on Monday whether I did it or not.
Jun 29 12:13:19 <chen>	mcrha, cool np
Jun 29 12:13:29 <rodrigo>	mbarnes, ok, I'll start with the simpler ones, on those same branches, ok?
Jun 29 12:13:30 <mcrha>	and along evo-mapi, there is samba4 alpha16 release since the last Friday, and as soon as openchange will have its 0.11 release then I'll make evo-mapi depend on it. It'll be The Thing. Finally.
Jun 29 12:13:39 <mbarnes>	mcrha: I just approved dvratil's account request
Jun 29 12:13:45 <mbarnes>	rodrigo: sounds good
Jun 29 12:13:50 <mcrha>	mbarnes, great, thanks
Jun 29 12:14:22 <chen>	rodrigo, updates?
Jun 29 12:14:44 <rodrigo>	chen, nothing, maybe next week if I get some time to work on the gsettings migration :)
Jun 29 12:15:01 <chen>	rodrigo, thanks :)
Jun 29 12:15:09 <chen>	seb128, anything to share?
Jun 29 12:15:20 <chen>	xtian, updates?
Jun 29 12:15:28 <seb128>	not really, we are just catching up on using the current version
Jun 29 12:15:29 <xtian>	http://evolution-kolab.sourceforge.net/ is open for business now (finally replaced the standard sf thing with some true stuff)
Jun 29 12:15:39 <chen>	seb128, cool
Jun 29 12:15:50 <seb128>	which is bitting us since 3.1 is not able to create accounts :p
Jun 29 12:15:52 <chen>	xtian, congrats :)
Jun 29 12:16:23 <chen>	seb128, we will get it fixed :) maybe mcrha already has a patch ? ;)
Jun 29 12:16:40 <seb128>	thanks ;-)
Jun 29 12:16:47 <chen>	:)
Jun 29 12:16:56 <xtian>	evolution-kolab has drawn some attention from major german it sites already, including heise.de, golem.de and pro-linux.de
Jun 29 12:17:01 <mcrha>	chen, hehe, not so quickly, I asked for an information in the bug, maybe seb128 can answer it
Jun 29 12:17:10 <chen>	mcrha, hehe
Jun 29 12:17:29 <chen>	xtian, nice :)
Jun 29 12:17:55 <mcrha>	xtian, good, real users means real testers
Jun 29 12:18:02 <chen>	xtian, eagerly waiting to see the feed-back's from users :)
Jun 29 12:18:22 <xtian>	package repo for ubuntu 10.04 is there, currently polishing user manual and stuff. compilation for debian/squeeze was successful, now testing
Jun 29 12:18:49 <xtian>	we'll try to get it packaged for squeeze, too ... it may have more users than lucid, even
Jun 29 12:19:08 <chen>	cool
Jun 29 12:19:37 *	mcrha is trying to decipher 'fedora' from those strange distro names
Jun 29 12:19:55 <xtian>	mcrha: good luck ;-)
Jun 29 12:20:02 <chen>	hehe
Jun 29 12:20:14 <mcrha>	xtian, yeah, seems like a real challenger :)
Jun 29 12:20:19 <xtian>	mcrha: ubuntu 10.04 'lucid' was the target selected by our customer
Jun 29 12:20:24 <mcrha>	*challenge
Jun 29 12:20:39 <mcrha>	xtian, ah, then it makes sense
Jun 29 12:20:48 <xtian>	mcrha: debian 6.0 'squeeze' has almost identical software versions
Jun 29 12:21:10 <mbarnes>	dpkg is superior to rpm anyway  :P
Jun 29 12:21:29 <mcrha>	how much can be hidden behind 'almost' word ;)
Jun 29 12:21:36 <xtian>	mcrha: our resources were (and are) very much limited, hence the decision for an old (but stable) development ground
Jun 29 12:22:01 <mcrha>	yup, as I said, it makes sense
Jun 29 12:22:13 <xtian>	yet, we would like to creep'n'crawl towards gnome git ...
Jun 29 12:22:21 <chen>	:)
Jun 29 12:23:23 <chen>	Lets then meet next month with more fun :) let xtian and mcrha continue the fun discussion :)
Jun 29 12:23:27 <chen>	thanks everyone!!

