Dec 12 05:02:40 <srag>	Hello everyone,
Dec 12 05:24:45 <jony>	mcrha: UI like : [label1][label2] my subject line ? 
Dec 12 05:24:56 <srag>	jony, later 
Dec 12 05:25:01 <jony>	srag: okie :) 
Dec 12 05:25:04 <mcrha>	jony, no, the entry in edit->prefs
Dec 12 05:25:17 <jony>	mcrha: oki (later as srag said :) )
Dec 12 05:25:25 <psankar>	IIRC my code added a new column Labels 
Dec 12 05:25:36 <psankar>	for viewing them in message list
Dec 12 05:25:36 <mcrha>	I will comment in my post why I did something, so you will be able to see my thoughts
Dec 12 05:25:51 <mcrha>	otherwise, trying other simple bugs, but not much, just for fun :)
Dec 12 05:26:00 <srag>	mcrha, thx.
Dec 12 05:26:32 <mcrha>	psankar, I left it there, right now using for testing :)
Dec 12 05:26:41 <srag>	mcrha, keep me updated, incase, If I have to delay the release a bit for you to push your feature, I would be in favour of that
Dec 12 05:26:49 <srag>	lets hope it goes all fine
Dec 12 05:27:06 <psankar>	mcrha, okay
Dec 12 05:27:10 <mcrha>	maybe tomorrow evening, not sure about progress
Dec 12 05:27:23 <srag>	sure
Dec 12 05:27:30 <srag>	psankar, anything to share with us?
Dec 12 05:28:13 <psankar>	srag, committed some code to EDS and evo for not forgetting passwds
Dec 12 05:28:22 <psankar>	srag, needs soem review/testing on the LDAP front
Dec 12 05:28:24 <srag>	saw that. Nice thing really IMO
Dec 12 05:28:36 <srag>	this release should fetch you that
Dec 12 05:28:50 <srag>	psankar, can you commit your mono-plugins work?
Dec 12 05:28:58 <psankar>	hmm okay. But I will suggest some kinda review on that before the realese
Dec 12 05:29:01 <psankar>	LDAP ^^^
Dec 12 05:29:12 <psankar>	srag, Sure thing. It will be in for thsi release
Dec 12 05:29:12 <srag>	psankar, sure
Dec 12 05:29:19 <psankar>	probably with a sample plugin if time permits
Dec 12 05:29:28 <srag>	psankar, also watch our the patches I have pinged you
Dec 12 05:29:35 <srag>	psankar, that would be even great
Dec 12 05:30:04 <psankar>	srag, I will see what I can do the best. but I might be on vaca. let us see
Dec 12 05:30:20 <srag>	psankar, any chance you can complete your "7 easy steps for a EPlugin" getting some shape?
Dec 12 05:30:42 <psankar>	srag, if I can get some time for working on plugins ... :) but really that is a bad excuse on my part
Dec 12 05:30:54 *	mcrha guesses it will be 8, with config-in-tabs
Dec 12 05:31:01 <srag>	:)
Dec 12 05:31:14 <psankar>	srag, what my grand vision was (or is) is writing a plugin thorugh 7 clicks and nto 7 steps
Dec 12 05:31:26 <psankar>	where the skeleton code should be auto-gen-ned
Dec 12 05:31:48 <srag>	ok.
Dec 12 05:31:55 <psankar>	with a link to camel-docs and othe API docs etc.
Dec 12 05:32:05 <srag>	I atleast want some momentum on the plugins side, with good docs and links etc
Dec 12 05:32:14 <abharath>	psankar: that would be a treat for everyone i'm sure
Dec 12 05:32:17 <srag>	if you can get that, it is a big win for us
Dec 12 05:32:38 <srag>	schooms, anything to share with us?
Dec 12 05:32:40 <psankar>	couldnt agree more. but still got some other priorities for me sadly :(
Dec 12 05:32:46 <psankar>	abharath, yeah it should
Dec 12 05:32:47 <srag>	k
Dec 12 05:32:48 <schooms>	srag: nothing new this week... like I mentioned - have cleaned up most of the APIs in servers/mapi (valgrind test pending) ... all the memory leaks I could find are fixed.. hope to see some of the APIs we need in libmapi soon ;) else, I'll resume my backend work !! 
Dec 12 05:33:03 <srag>	ok.
Dec 12 05:33:12 <srag>	srinidhi, anything to share with us?
Dec 12 05:33:35 <srag>	schooms, you need to get some of your pending calendar/exchange patches reviewed (I remember one on the pending list)
Dec 12 05:33:53 <schooms>	ping chen ;)
Dec 12 05:34:15 <srag>	offline schooms 
Dec 12 05:34:23 <schooms>	srag: there are a couple of patches which got reviewed.. 
Dec 12 05:34:30 <srag>	ok
Dec 12 05:34:30 <schooms>	some more left, i guess
Dec 12 05:34:35 <srag>	anything else to discuss?
Dec 12 05:34:39 <chen>	schooms: I was looking at it, will be approving after testing
Dec 12 05:34:46 <schooms>	sure thing !
Dec 12 05:34:57 <srag>	Can we a hackfest this time ?
Dec 12 05:35:00 <srag>	any thoughts?
Dec 12 05:35:09 <srag>	any volunteers to organise?
Dec 12 05:35:19 <chen>	schooms: Is there any other patch waiting apart from that ?
Dec 12 05:35:37 <schooms>	chen: i'll check and let you know
Dec 12 05:35:39 <schooms>	:)
Dec 12 05:35:42 <chen>	ok
Dec 12 05:36:46 <srag>	Oh, no body wants it, no body wants to volunteer for it?
Dec 12 05:37:18 <srag>	I was thinking of having something next week or so :(
Dec 12 05:37:28 <andre>	feature freeze is on January 14. should be before :)
Dec 12 05:37:39 <jony>	srag: ah . before the holiday season .
Dec 12 05:37:39 <srag>	andre, next week :)
Dec 12 05:37:53 <srag>	may be next tuesday or so
Dec 12 05:38:08 <srag>	mcrha, psankar chen ?
Dec 12 05:38:09 <jony>	tuesday is good 
Dec 12 05:38:10 *	chen will be out of station from next week upto 2nd
Dec 12 05:38:38 <mcrha>	me not, srag, I'm just a little coder
Dec 12 05:38:38 *	psankar too most likely
Dec 12 05:39:04 <srag>	ah!
Dec 12 05:39:17 <srag>	how about the first week of Jan?
Dec 12 05:39:27 <srag>	still before the feature freeze
Dec 12 05:39:40 *	jony off on vacation at that time :( (dec 21st to jan 13 )
Dec 12 05:40:01 <psankar>	lol
Dec 12 05:40:03 <srag>	bad time 
Dec 12 05:40:25 <jony>	srag: jan 3rd / 4th ? 
Dec 12 05:40:30 <srag>	ok guys, I wanted to have  a EPlugin hack day or so
Dec 12 05:40:38 <srinidhi>	srag: sorry was afk!! nothing from my side
Dec 12 05:40:50 <srag>	I'm ok on anyday
Dec 12 05:40:55 <psankar>	srag, no wait. We need to spend some tiem on the framework before having a hack-day on eplugins
Dec 12 05:41:05 <srag>	I can take a day off fdrom my vacation to join the hackfest
Dec 12 05:41:12 <srinidhi>	psankar: and some doc updates too.. ;)
Dec 12 05:41:16 <srag>	psankar, I thought, this would initiate to get that ;-)
Dec 12 05:41:22 <psankar>	srag, yup ... undoubtedly :)
Dec 12 05:41:30 <psankar>	srag, hmm okay
Dec 12 05:41:42 <srag>	so. when can we have it
Dec 12 05:41:53 <psankar>	not before mid-January imho
Dec 12 05:41:57 <srag>	==> when can you make it ;-)
Dec 12 05:42:04 <srag>	then not for 2.22
Dec 12 05:42:30 <srag>	Ok. lets take it later then.
Dec 12 05:42:34 <psankar>	okay
Dec 12 05:42:38 <srag>	anything else ot discuss?
Dec 12 05:42:40 <andre>	(i'd put higher priority on a "fix crashers with "stacktrace" keyword" hackday, perhaps later in the cycle. oh cool, thanks guys.)
Dec 12 05:43:13 <srag>	andre, nice proposal
Dec 12 05:43:24 <srag>	I second that
Dec 12 05:43:36 <andre>	there's enough useful crasher reports for everyone
Dec 12 05:43:54 <jony>	anyday after jan 15 :) 
Dec 12 05:44:00 <srag>	sure.
Dec 12 05:44:20 <srag>	we can plan for this surely
Dec 12 05:44:28 <srag>	late Jan should be fine
Dec 12 05:44:58 <psankar>	andre, that should be highly useful /me agrees
Dec 12 05:45:23 *	srag notes it as an AI 
Dec 12 05:45:38 <srag>	anything more?
Dec 12 05:46:11 <srag>	bye everyone. see you all next week

