Jan 28 05:25:09 <jony>	hello  ... 
Jan 28 05:33:09 <hggdh>	I am OK, nothing special, apart from two issues srag and I are trying to nail
Jan 28 05:33:43 <jony>	hggdh, okies . srag wanted to know any top issues that you may have (apart form the  2 ) .. 
Jan 28 05:34:29 <hggdh>	just a question -- when is MAPI going to go live?
Jan 28 05:34:48 <jony>	hggdh, itz part of GNOME now .
Jan 28 05:35:16 <jony>	and the first major release would be in 2.26. 
Jan 28 05:35:16 <hggdh>	k
Jan 28 05:35:27 <hggdh>	is it stable enough for packaging?
Jan 28 05:35:35 <jony>	hggdh, yep . 
Jan 28 05:35:48 <jony>	hggdh, would be nice to get some ubuntu packages . :) 
Jan 28 05:35:56 <hggdh>	heh
Jan 28 05:36:07 <hggdh>	I will start looking at it
Jan 28 05:36:21 <jony>	thanks hggdh . and from me : been on MAPI. working on some bugs in BNC. there is huge memory build up in libmapi 
Jan 28 05:36:49 <jony>	julien is fixing them and would  probably release 0.8.1 (no timeline on this ) 
Jan 28 05:36:59 <hggdh>	oh, OK. I am stating to be very friendly with valgrind 
Jan 28 05:37:09 <hggdh>	more than I would like
Jan 28 05:37:22 <jony>	hggdh, :) ncie .. 
Jan 28 05:37:34 <jony>	kandepu, any updates ? 
Jan 28 05:37:48 <kandepu>	jony, raised few more mapi bugs in bgo and testing some patches
Jan 28 05:38:18 <jony>	kandepu, cool . 
Jan 28 05:38:30 <jony>	lakhil, shoot  .. :) 
Jan 28 05:38:36 <lakhil>	jony, nothing 
Jan 28 05:39:17 <jony>	lakhil, okies . 
Jan 28 05:39:26 <jony>	mcrha, go ahead :) 
Jan 28 05:40:28 <mcrha>	apart from committing approved patches by chen and other, resending those not-approved, pinging on bugs with my patches in a "reviewed" state (which I personally call "we-do-not-care-anymore"), and apart of the half discussion with mmeeks you could see just before the meeting, hmm... really nothing
Jan 28 05:41:04 <jony>	mcrha, :) msuman is looking at your mapi patches 
Jan 28 05:41:24 <mcrha>	yup, I was talking to him before the meeting :)
Jan 28 05:41:24 <jony>	mbarnes, hi ... any updates ?
Jan 28 05:41:40 <jony>	mcrha, ah .. good . :) 
Jan 28 05:41:56 <mbarnes>	yeah, I posted an about kill-bonobo to http://www.go-evolution.org/KillBonobo
Jan 28 05:42:09 <mbarnes>	basically the mailer is working well enough that I'm using it for daily work now
Jan 28 05:42:40 <jony>	nice ! ! 
Jan 28 05:42:52 <mmeeks>	mbarnes: 'screenshot below' ? :-)
Jan 28 05:43:25 <jony>	mmeeks, http://www.go-evolution.org/KillBonobo#Screenshots
Jan 28 05:43:51 *	mmeeks admires the shot.
Jan 28 05:45:02 <jony>	mbarnes, thanks ... 
Jan 28 05:45:13 <jony>	mmeeks, the floor is yours .. :) 
Jan 28 05:46:10 <mmeeks>	oh - well, nothing to report except - I'm excited about mcrha's nice patch,
Jan 28 05:46:26 <mmeeks>	and just trying to pick holes in it to focus minds for the stable release ;-)
Jan 28 05:46:43 *	mmeeks thinks it's good enough already, but perhaps could be better :-)
Jan 28 05:46:49 <jony>	will keep that in mind :) 
Jan 28 05:46:54 <jony>	mmeeks, go-evolution.org wiki looks ugly . would be nice if you can help us out there :) 
Jan 28 05:47:04 <mmeeks>	oh - grief,
Jan 28 05:47:12 <mmeeks>	did JP not get back to you ?
Jan 28 05:47:27 <jony>	mmeeks, oh .. not aware of it ... 
Jan 28 05:47:33 <mmeeks>	he is the man to poke I suspect
Jan 28 05:48:02 <jony>	mmeeks, ah ! sure .. looks like abharath has pinged him .. 
Jan 28 05:48:07 <jony>	thanks mmeeks 
Jan 28 05:48:30 <jony>	msuman, any updates ? 
Jan 28 05:48:42 <msuman>	jony: libical fork drop.. mapi patch reviews.. bnc bugs.. 
Jan 28 05:49:01 <jony>	msuman, cool . thanks ! 
Jan 28 05:49:10 <jony>	psankar, updates ?
Jan 28 05:49:25 <psankar>	jony, nothing much. I just wanted to discuss with srag about our CamelFolder flags. Otherwise, busy with SLED work
Jan 28 05:49:39 <jony>	psankar, cool .
Jan 28 05:49:48 <jony>	looks like we missed seb in this meet .. 
Jan 28 05:50:05 <jony>	anything else to talk about ? or any reminders on schedule ? 
Jan 28 05:50:18 <mmeeks>	jony: it looks like go-evolution.org is hosted by Novell IS&T - have you tried the US help-desk ?
Jan 28 05:50:26 *	andre (~andre@f053154067.adsl.alicedsl.de) has joined #evolution-meet
Jan 28 05:50:28 *	monkey|bot gives channel operator status to andre
Jan 28 05:50:41 *	mmeeks wonders if he can spam the channel with thready bits ?
Jan 28 05:51:03 <jony>	mmeeks, ah .. i think they tried once and the thread was long lost .. 
Jan 28 05:51:12 <jony>	mmeeks, letz see .. we'll poke them once again :) 
Jan 28 05:51:15 <jony>	hello andre 
Jan 28 05:51:27 <jony>	andre, would you like to share anything ? 
Jan 28 05:52:50 <jony>	cool . thanks guyz ! 2.25.90 is around the corner and UI Freeze UI Freeze is coming up ...
Jan 28 05:53:17 <jony>	thatz it from me .. and thanks again ! :) 

