May 06 06:04:21 <srag>	Hello everyone
May 06 06:17:27 <seb128>	ie chen had to do a 2.26 build to look at the issue and didn't get it because he used git and not tarballs still
May 06 06:17:56 <seb128>	srag: well in this case the fix is in git but there is no tarball which means most user still get the bug
May 06 06:18:16 <mcrha>	seb128, did you verify the fix helped?
May 06 06:18:22 <seb128>	mcrha: yes
May 06 06:18:27 <mcrha>	ok
May 06 06:18:35 <seb128>	I just get a one hour shift now which is probably a different issue
May 06 06:18:44 <seb128>	but events are edited correctly
May 06 06:18:49 <srag>	seb128, we make tarballs for very critical things..
May 06 06:18:56 <srag>	apart from the regular cycles for stables
May 06 06:19:07 <seb128>	I will backport the fix to ubuntu
May 06 06:19:10 <srag>	if it was critical enough, I should be informed... 
May 06 06:19:21 <srag>	otherwise, its gonna get difficult :(
May 06 06:19:30 <mcrha>	seb128, "Adjust for daylight saving time"? should be checked
May 06 06:19:31 <seb128>	but having evolution calendar not being able to edit a recurrent is sort of a showstopper
May 06 06:19:51 <seb128>	mcrha: yes
May 06 06:20:13 <mcrha>	ok
May 06 06:20:19 <seb128>	srag: it's just that it's hard to "sell" evolution to users when basic things as editing calendar events is not working
May 06 06:20:28 <srag>	seb128, I understand
May 06 06:21:01 <mcrha>	seb128, by the way, I wouldn't expect the patch there be of a help, as it was, from my point of view, rather a rewrite, not fix of something concrete
May 06 06:21:15 <srag>	seb128, I can take some measures, and lets see
May 06 06:21:22 <seb128>	sorry for the ranting
May 06 06:21:35 <srag>	seb128, its fine, but with a small team and a building pressure for every one, things are getting tough
May 06 06:21:40 <seb128>	right
May 06 06:21:54 <seb128>	but you should focus some efforts on make stable version work correctly imho
May 06 06:22:00 <seb128>	rather than rush on new cracks
May 06 06:22:12 <mcrha>	:)
May 06 06:22:12 <seb128>	because otherwise you will not have lot of users left running your software
May 06 06:22:22 <srag>	sure.
May 06 06:22:54 <mcrha>	it might be even harder with all the gnome3 rewrites
May 06 06:23:04 <srag>	:)
May 06 06:23:17 <seb128>	yeah ...
May 06 06:23:35 <seb128>	anyway enough ranting
May 06 06:23:35 <mcrha>	seb128, scary that you?
May 06 06:23:42 <seb128>	but such issues damage the evolution reputation
May 06 06:24:05 <seb128>	mcrha: no, distros can still keep 2.26 as a stable version until newer version fell stable enough
May 06 06:24:31 <srag>	ok.
May 06 06:24:33 <mcrha>	yeah, ok, then it scary at least me
May 06 06:24:35 <srag>	anything else to duscuss ?
May 06 06:24:58 <srag>	s/duscuss/discuss
May 06 06:25:14 <srag>	Ok guys, see you all next week.

