Dec 21 16:31:21 <chen>	Lets get started!!
Dec 21 16:43:04 <mcrha>	hmm, I thought of the opposite ;)
Dec 21 16:43:43 <chen>	mcrha, i have a gift, but you should visit india to get it, how about that ? :)
Dec 21 16:44:13 <mcrha>	err, too "expensive" gift ;)
Dec 21 16:44:21 <chen>	:)
Dec 21 16:44:35 *	dvratil could wrap some bugs and assign them to mcrha, he would definitely like it
Dec 21 16:44:45 <chen>	dvratil, as always :)
Dec 21 16:44:52 <mcrha>	:))
Dec 21 16:45:16 <chen>	while we continue with the rants :) updates from my side, mostly on internal work, some bug fixes and patch reviews..
Dec 21 16:45:21 <chen>	dvratil, updates ? :)
Dec 21 16:45:38 <dvratil>	dvratil: nothing but the webkit stuff
Dec 21 16:45:44 <chen>	dvratil, nice!!
Dec 21 16:46:03 <chen>	dwmw2_gone, updates?
Dec 21 16:46:08 <chen>	jpunit, updates?
Dec 21 16:46:35 *	chen hopes lakhil to jump in for the gift proposed by dvratil ;)
Dec 21 16:46:54 <chen>	kov, anything to share?
Dec 21 16:47:05 <jpunit>	submitted patch for finditem api  and working on out of office in ews.. and some ews and evolution related bug fixes
Dec 21 16:47:09 <chen>	lakhil, updates?
Dec 21 16:47:18 <chen>	jpunit, thanks!!
Dec 21 16:47:25 <chen>	mcrha, updates?
Dec 21 16:47:29 <lakhil>	nothing much, downstream work, bug triaging and some regression testing on ews and evo master bug fixes
Dec 21 16:47:42 <chen>	lakhil, thanks!!
Dec 21 16:47:43 <mcrha>	MAPI and few bugs fixed. Or invented, it depends
Dec 21 16:47:51 <chen>	mcrha, thanks :)
Dec 21 16:47:57 <chen>	verwilst, anything to share?
Dec 21 16:48:03 <chen>	vibs, updates?
Dec 21 16:48:21 <vibs>	Hi All, past month mostly focussed on evolution-groupwise and evolution-ews bugs
Dec 21 16:48:28 <chen>	vibs, thanks!!
Dec 21 16:48:52 <chen>	Before we wrap up today meetings,
Dec 21 16:48:58 <vibs>	little more chen, committed off get-delegate api and was on downstream
Dec 21 16:49:09 <chen>	vibs, nice!!
Dec 21 16:49:23 <chen>	Merry christmas to all!! and wish you a very happy new year 2012!!!
Dec 21 16:49:31 <vibs>	chen: +1
Dec 21 16:49:32 <chen>	Thank you everyone, enjoy!!
Dec 21 16:49:45 <mcrha>	same to you all
Dec 21 16:49:56 <dvratil>	merry christmas from me as well
Dec 21 16:50:00 <lakhil>	happy holidays :)
Dec 21 16:50:05 <chen>	:)
Dec 21 16:50:16 *	dvratil is going to C++ exam, see you next year guys :)
Dec 21 16:50:25 *	dvratil has quit (leaving)
Dec 21 16:50:31 <jpunit>	:) .. Merry Christmas to all ..bye

