Jul 16 05:57:28 <jony>	hello all .. 
Jul 16 06:14:27 *	mmeeks (~michael@mmeeks.gotadsl.co.uk) has joined #evolution-meet
Jul 16 06:14:36 <chen>	mcrha, so we were speaking a lot about you to jrb 
Jul 16 06:14:50 <mbarnes>	Apologies in advance if I'm a little less responsive on bugs  :)
Jul 16 06:15:00 <psankar>	hey mmeeks 
Jul 16 06:15:09 <chen>	and we really wanted to see you. the only person who has met you is andre :)
Jul 16 06:15:13 <chen>	mcrha, any updates?
Jul 16 06:15:20 <chen>	hi mmeeks  :)
Jul 16 06:15:23 <mcrha>	chen, should I be scared? :)
Jul 16 06:15:28 <mcrha>	updates: a few patch producing for some little things. looking here and there, you know. Waiting for reviews, though, because I'm not sure with some of them
Jul 16 06:16:00 <chen>	mcrha, you have a new name now, patch bot. So you now know about what we have discussed about you with jrb :)
Jul 16 06:16:10 <chen>	mcrha, cool
Jul 16 06:16:45 <mcrha>	is the place for next GUADEC known?
Jul 16 06:16:48 <jony>	mbarnes: is it bonobo -> dbus or just no bonobo . 
Jul 16 06:16:55 <schooms>	gran canaria
Jul 16 06:16:57 <chen>	thanks a lot to mmeeks who guided us in the licensing changes in evolution, without him it would not have been possible :)
Jul 16 06:17:14 *	mmeeks spanks chen for his blatant sycophancy 
Jul 16 06:17:29 *	mmeeks would love to see some support on the list for it though,
Jul 16 06:17:40 *	mcrha should open a map...
Jul 16 06:17:55 *	chen does not understand some english words, so have to see the dict for it ;)
Jul 16 06:18:03 <mbarnes>	jony: for the components, bonobo -> GTypeModule.  ross has the e-d-s/d-bus stuff covered
Jul 16 06:18:08 <chen>	i will do that later :)
Jul 16 06:18:19 <jony>	mbarnes: ah k. 
Jul 16 06:18:24 <psankar>	chen, flattery :-)
Jul 16 06:18:37 <psankar>	mmeeks, but it was really heart-felt :-)
Jul 16 06:18:44 <chen>	hehe, no that was true and not flattery :)
Jul 16 06:18:48 <mmeeks>	;-)
Jul 16 06:19:05 *	mmeeks is pleased to see bonobo get removed; wow this is an interesting meeting
Jul 16 06:19:09 *	mmeeks sorry to gate-crash etc.
Jul 16 06:19:15 <chen>	psankar, updates other than the awesome disk summary update ? :)
Jul 16 06:19:30 <jony>	mbarnes: interesting .. lemme know if i can help you out there .. 
Jul 16 06:19:46 <psankar>	chen, nothing much other than disk summary. thanks to jony and git-svn we succesfully brought up the madagascar branch up to date with trunk
Jul 16 06:19:51 <psankar>	and in few hours form now,
Jul 16 06:19:59 <chen>	jony, the calendar part needs some work and once its done we would be away from bonobo for EDS and mbances would remove it in evolution :) 
Jul 16 06:20:07 <psankar>	I will be committing the camel-db-summary branch to evolution-data0-server trunk
Jul 16 06:20:12 <psankar>	so everyone can try it
Jul 16 06:20:19 <jony>	psankar: i'm concerned on the initial overload because of db-summary. hope that is fixed now . 
Jul 16 06:20:20 <mbarnes>	jony: lots of mundane converting of menus and such to be done once I get the shell rewritten, so I may take you up on that  ;)
Jul 16 06:20:27 <jony>	chen: ah .. cool . 
Jul 16 06:20:33 <chen>	everyone is interested in using it :)
Jul 16 06:20:46 <psankar>	jony, initial overload ?
Jul 16 06:20:46 *	chen would update his code once its merged today :)
Jul 16 06:20:47 <jony>	mbarnes: ah cool . np .. just poke me .. 
Jul 16 06:20:54 <chen>	pvanhoof, any update for us?
Jul 16 06:21:16 <chen>	schooms, ?
Jul 16 06:21:24 <schooms>	﻿﻿﻿﻿chen: on MAPI - working on accept/decline meeting requests in inbox.. patched the libical movement bug today morning - it'd be great if srag/you can have at it look before monday's release
Jul 16 06:21:49 <chen>	schooms, am going to blog about merging libical with upstream today
Jul 16 06:21:50 <jony>	psankar: yeah .. last time i used ... it had trouble in the initial db creation ... took too much cpu. something related to the way we release resources .. 
Jul 16 06:22:03 <chen>	schooms, will look at the patch today
Jul 16 06:22:06 <chen>	schooms, thanks!!
Jul 16 06:22:09 <jony>	psankar: i think it is based on some timeout .. iirc .. 
Jul 16 06:22:15 <schooms>	chen: oh.. so we are removing our fork.. great!
Jul 16 06:22:18 <chen>	seb128, any update for us?
Jul 16 06:22:23 <schooms>	sure..
Jul 16 06:22:36 <psankar>	jony, your migration code should come in handy there ;-) but yes, most of it is already removed, except for few warnings in the console
Jul 16 06:22:48 <seb128>	chen: no, nothing special
Jul 16 06:22:59 <chen>	schooms, yeah, need to discuss with the upstream maintainer about it. He has commented in my blog that he is very interested but i dont know his mail id or
Jul 16 06:23:12 <jony>	psankar: ah k ... i guess itz not related to that .. anyhoo .. i'll try it out with my day accounts .. 
Jul 16 06:23:23 <seb128>	lot of things changing in evolution apparently, good, let's see how stable the next tarballs are ;-)
Jul 16 06:23:26 <schooms>	chen: okay... i think i can get you his id
Jul 16 06:23:38 <lakhil>	 
Jul 16 06:23:38 <chen>	schooms, ah great!!
Jul 16 06:23:44 <chen>	seb128, fine
Jul 16 06:23:50 <psankar>	jony, :)
Jul 16 06:24:20 <chen>	seb128, the next release is going to rock!! 
Jul 16 06:24:38 <seb128>	let's see ;-)
Jul 16 06:24:46 <chen>	:)
Jul 16 06:25:26 <chen>	so thats it for today, Lets meet next week with our new db summary in trunk :)
Jul 16 06:25:30 *	schooms thinks this was one of the most-topics meetings ever :)
Jul 16 06:25:39 <psankar>	chen, Yes :-)
Jul 16 06:25:40 <abharath>	schooms: :)
Jul 16 06:25:51 <chen>	yeah!!
Jul 16 06:25:52 <jony>	chen: when are the freezes starting ? 
Jul 16 06:26:09 *	psankar gets back to breaking his head with [git]svn merge
Jul 16 06:26:18 <chen>	the announce period is starting on jul 22nd for string/UI
Jul 16 06:26:32 <jony>	api / abi freeze too .. right ? 
Jul 16 06:26:33 <chen>	and API/ABI freezes are on Jul 29th
Jul 16 06:26:38 <jony>	ah cool . 
Jul 16 06:26:55 <chen>	those are the ones very nearby 
Jul 16 06:27:32 <chen>	See you all next week!!

