Sep 26 06:03:44 <srag>	Hello every one
Sep 26 06:13:27 <srag>	Im wokring with srinidhi and few other guys to get the wiki revamped
Sep 26 06:13:41 <srag>	s/wokring/working
Sep 26 06:13:52 <mbarnes>	well, the new composer should look exactly like the old composer at first
Sep 26 06:14:08 <mbarnes>	but will be designed to allow us to move widgets around much easier
Sep 26 06:14:21 <srag>	mbarnes, ok. anything on xkahn's UI improvements?
Sep 26 06:14:24 <mbarnes>	and maybe implement some of xkahn's ideas
Sep 26 06:14:29 <mbarnes>	:)
Sep 26 06:14:34 <srag>	** mid air collision ** 
Sep 26 06:14:44 <srag>	:)
Sep 26 06:14:59 <srag>	some of them were really nice and I would love to get it.
Sep 26 06:15:24 <srag>	mcrha, anything to share with us? 
Sep 26 06:15:24 <mbarnes>	me too... matching the old composer is mainly for validation purposes
Sep 26 06:15:32 <srag>	mbarnes, ok :)
Sep 26 06:15:43 <srag>	mbarnes, and I will review your gtk+ patches  this week for sure :)
Sep 26 06:15:52 <mbarnes>	cool, thanks  :)
Sep 26 06:16:06 <srag>	prasad, anything to share with us?
Sep 26 06:16:41 <prasad>	srag: nothing from my side
Sep 26 06:16:58 <srag>	psankar, anything to share with us?
Sep 26 06:17:05 <psankar>	srag, nothing from me... clearing mail backlogs, etc. nothing much
Sep 26 06:17:11 <srag>	any plugins improvements? 
Sep 26 06:17:30 <srag>	shashish, anything to share with us?
Sep 26 06:17:42 <psankar>	srag, a few things in my mind... nothing materialised so far
Sep 26 06:17:43 <shashish>	srag, nothing much....working towards to mail formatter plugin....start with to getting knowledge on plugins, n going through mailer code
Sep 26 06:17:44 <mcrha>	hi srag, sorry, nothing today, only I was talking to jakub, about strict-aliasing warnings and he suggested to use anonymous unions, so there will be less changes in code, and I will look at it near in the feature
Sep 26 06:17:57 <psankar>	srag, will share if there is any progress
Sep 26 06:18:04 <srag>	psankar, ok :)
Sep 26 06:18:10 <srag>	shashish, cool.
Sep 26 06:18:22 <Akhil>	mbarnes, hi..one doubt....are you planning to change message read icon..it doesn't look good 
Sep 26 06:18:36 <srag>	Akhil, I dont think mbarnes did anything there to look bad ;-)
Sep 26 06:18:41 *	Lucky|brb is now known as Lucky
Sep 26 06:18:57 <srag>	you may have to post to the g-i-t guys
Sep 26 06:19:06 <psankar>	Akhil, gnome-icon-theme
Sep 26 06:19:12 <srag>	another important thing is that
Sep 26 06:19:13 <Akhil>	srag, i thought he added new one as attachment icon 
Sep 26 06:19:20 <mbarnes>	Akhil: I've already submitted a patch to change it to "mail-read" instead of "stock_mail-read"... looks much better
Sep 26 06:19:22 <srag>	Akhil, ok.
Sep 26 06:19:29 <srag>	mbarnes, ok
Sep 26 06:19:57 <Akhil>	mbarnes, thanks :)
Sep 26 06:20:01 <srag>	I have been in discussion with OpenChange guys for getting their exchange plugin to shape with Evolution
Sep 26 06:20:52 <srag>	and they have discovered that the 'GPLv2' and 'GPLv2 or later' licensed code in Evolution is incompatible with Samba which is GPL3
Sep 26 06:21:24 <srag>	and I was discussing with the legal team and they sort of proposing to dual license Evolution in V2 and V3.
Sep 26 06:21:45 <srag>	nothing materialized till now, but just sharing some discussion with them
Sep 26 06:21:57 <mbarnes>	I thought "GPLv2 or later" was compatible with GPLv3 ?
Sep 26 06:22:24 <srag>	mbarnes, yeah but the legal wanted to have that 'later to be known/specified'
Sep 26 06:22:36 <srag>	but they haven't come back to what I have said, but let me see
Sep 26 06:23:01 <mbarnes>	so what's in store for Evolution Exchange once the OpenChange plugin matures?
Sep 26 06:23:09 <srag>	just an update and I would initiate a discussion in e-h before doing it
Sep 26 06:23:40 <srag>	mbarnes, OpenChange seems to be a better way if you look at mapi (5.5 2K 2K3  2K7)
Sep 26 16:00:31 <srag>  mbarnes, OpenChange seems to be a better way if you look at mapi (5.5 2K 2K3  2K7)
Sep 26 16:00:54 <srag>  but we are also evaluating EWS approach which seems to be much documented and futuristic
Sep 26 16:01:27 <srag>  for now, OpenChange seems to be fine for now with 2007 support, but addressbook/cal not impl.
Sep 26 16:01:58 <srag>  mbarnes, the current connector would deprecate once the other matures because of the better design / approach
