Dec 05 05:04:40 <chen>	Lets get started..
Dec 05 05:32:57 <psankar>	srag, just that I dont understand the locking part...
Dec 05 05:33:05 <chen>	schooms: gr8!
Dec 05 05:33:14 <srag>	psankar, I'll explain lockdown to you tomorrow at office :)
Dec 05 05:33:17 <psankar>	mcrha, nope nothing like that... any questions any time, you can ask me
Dec 05 05:33:26 <srag>	psankar, lets get the UAM started
Dec 05 05:33:35 <psankar>	srag, oh okay
Dec 05 05:33:40 <mcrha>	psankar, sure, I will, I'm definitely sure I will get lost :0
Dec 05 05:33:43 <chen>	updates from maintainer ? :)
Dec 05 05:33:48 <psankar>	mcrha, :)
Dec 05 05:34:26 <chen>	srag: ^^
Dec 05 05:34:27 <srag>	chen, mostly spent my time at hospital with my son. and just got him discharged 
Dec 05 05:34:28 <psankar>	srag, ^^^
Dec 05 05:34:49 <srag>	otherwise, sterday night, I got crash-recovery almost dont
Dec 05 05:34:50 <chen>	srag: hope he gets better very soon
Dec 05 05:34:53 <srag>	s/dont/done
Dec 05 05:35:05 <psankar>	Current Bangalore weather is doing no good to anyone i guess *shrug*
Dec 05 05:35:11 <chen>	srag: thanks great!
Dec 05 05:35:16 <srag>	I also added a patch to disable magic-spacebar (I have heard that from lots of guys including Miguel)
Dec 05 05:35:23 <srag>	otherwise just MAPI works and some plannings
Dec 05 05:35:43 <srag>	and patch reviews
Dec 05 05:36:06 <chen>	srag: someone in the channel was very happy using the magic space bar
Dec 05 05:36:31 <chen>	i don remember his nick. May be can it be provided as an option in prederences ?
Dec 05 05:36:31 <srag>	but, few people didn't like since it still has bugs :)
Dec 05 05:36:37 <srag>	chen, it is 
Dec 05 05:36:45 <chen>	srag: nice
Dec 05 05:36:59 <chen>	srinidhi: any updates?
Dec 05 05:37:09 <srinidhi>	chen: nope.. :)
Dec 05 05:38:03 <chen>	Thats it for today and if anyone has any concerns just ping srag right here now :)
Dec 05 05:38:12 <srag>	:)
Dec 05 05:38:21 <chen>	thanks all

