Oct 24 06:02:48 <srag>	Hello Everyone
Oct 24 06:14:22 <psankar>	srag, so took up that - evo-vi-composer thingy
Oct 24 06:14:35 <srag>	psankar, I think this is really nice.
Oct 24 06:14:47 <srag>	psankar, on the mono plugins front?
Oct 24 06:14:48 <psankar>	srag, mono-plugins is not yet in.... i can add the plyugin-priorities thing alone
Oct 24 06:14:56 <psankar>	*commit*
Oct 24 06:15:07 <srag>	psankar, ah! can you woooork hard to get that in for 2.21.1?
Oct 24 06:15:29 <psankar>	Mono needs a lot of external testing before i commit it.... the patch is there in bugzilla
Oct 24 06:15:40 <jony>	psankar: also the plugin configure tabs .. :) 
Oct 24 06:15:57 <srag>	psankar, unless it hits the trunk, the amount of testing you get will be leeeess
Oct 24 06:16:05 <mcrha>	psankar, srag I'm sorry, what's going on with gvim? (we can discuss offline, of course)
Oct 24 06:16:20 <psankar>	jony, patch for configurable-plugins is also done... it is in bugzilla... just needs more testing/commit
Oct 24 06:16:24 <srag>	mcrha, psankar got the support to external editors.
Oct 24 06:16:43 <srag>	you can compose mails in VI and send it from Evolution
Oct 24 06:16:57 <mcrha>	like no html toolbar in composer? :)
Oct 24 06:16:59 <srag>	psankar, right?
Oct 24 06:17:12 <srag>	psankar, commit them if you want more testing
Oct 24 06:17:13 <jony>	psankar: bug# ? :) 
Oct 24 06:17:14 <psankar>	mcrha, if u want to send patches inline , evo screws up with its line-width constraints... so some people wanted to send mails via vi
Oct 24 06:17:17 <mcrha>	on cmd line? or in gui?
Oct 24 06:17:27 <psankar>	mcrha, was trying to do that
Oct 24 06:17:55 <srag>	hey pvanhoof 
Oct 24 06:18:00 <srag>	pvanhoof, anything to share with us?
Oct 24 06:18:02 <psankar>	mcrha, gui.... it is just for people who dont want to use "pre-format"
Oct 24 06:18:16 <pvanhoof>	No, just following
Oct 24 06:18:25 <srag>	pvanhoof, ok :)
Oct 24 06:18:28 <srag>	schooms, anything to share with us?
Oct 24 06:18:30 <mcrha>	psankar, ok, so I will see when it will be in trunk :)
Oct 24 06:18:30 <psankar>	in composer adn use gvim bcos they have other view constraints applied in their gvim environment
Oct 24 06:18:35 <schooms>	srag: mapi cal backend .. not much to say.. just steady progress.. :)
Oct 24 06:18:40 <psankar>	mcrha, and people wanted key-bindings
Oct 24 06:18:49 <psankar>	mcrha, sure thing :) that'll be ebtter
Oct 24 06:18:59 <srag>	schooms, ok
Oct 24 06:19:09 <srag>	srinidhi|afk, there?
Oct 24 06:19:32 <jony>	srag: u missed luckybharath :) 
Oct 24 06:19:38 *	luckybharath is always missed from the list :'(
Oct 24 06:19:40 <srag>	Oops
Oct 24 06:19:45 <schooms>	;)
Oct 24 06:19:45 <srag>	luckybharath, anything to share with us?
Oct 24 06:20:02 <luckybharath>	srag: working on Pst import. going good. the file formats now match those of the 2003 format files. i'm able to import the contacts and mails from pst files. will look into calendar now
Oct 24 06:20:13 <srag>	luckybharath, coool.
Oct 24 06:20:16 <luckybharath>	srag: the smartcard setup also going good. able to detect certificates on the card
Oct 24 06:20:24 <srag>	when do you think that this can hit trunk?
Oct 24 06:20:30 <srag>	I think this will help a lot of Exchange users
Oct 24 06:20:52 <luckybharath>	maybe 2.21.3
Oct 24 06:21:00 <luckybharath>	will try to finish it by the next release
Oct 24 06:21:11 <srag>	luckybharath, ok. that is great
Oct 24 06:21:45 <srag>	Im working on the MAPI based addressbook thingy and I hope that in another 1 week, the work will be done
Oct 24 06:21:59 <srag>	the branch now has a working code, which can provide you readonly access to the books
Oct 24 06:22:04 <srag>	thatz it over all
Oct 24 06:22:14 <srag>	anything else to discuss?
Oct 24 06:22:42 <srag>	ok. bye every one.

