Jun 03 06:02:24 <srag>	hello everyone...
Jun 03 06:13:50 <srag>	seb128, anything to share with us ?
Jun 03 06:14:16 <seb128>	not really no, I've not been tracking evolution changes recently, still busy on 2.26 breakages
Jun 03 06:14:39 <srag>	ok.
Jun 03 06:15:06 <srag>	seb128, if you have some issues, feel free to loop me in it.
Jun 03 06:15:08 <seb128>	is 2.27 stable currently?
Jun 03 06:15:20 <srag>	seb128, yeah, it is.
Jun 03 06:15:25 <seb128>	where do you plan to land e-d-s-dbus?
Jun 03 06:15:35 <seb128>	where -> when rather
Jun 03 06:15:41 <srag>	seb128, ross is working on it.. I still dont have a date :(
Jun 03 06:15:52 <seb128>	ok
Jun 03 06:16:03 <seb128>	any other real changes coming?
Jun 03 06:16:05 <mcrha>	seb128, what kind of stability? I still commit things there which are not suitable for 2.26
Jun 03 06:16:25 <seb128>	ie bonobo-less gui, webkit, ...?
Jun 03 06:16:37 <srag>	seb128, mbarnes|away is cherry picking KB changes..
Jun 03 06:16:39 <srag>	some of them are in.
Jun 03 06:16:46 <srag>	seb128, webkit would be a optional renderer
Jun 03 06:16:50 <seb128>	mcrha: basically "would you push it to unstable distro users or does it eat emails and crash every 15 seconds"
Jun 03 06:17:11 <srag>	GtkHTML would be there for 2.28 surely. no second thoughts.
Jun 03 06:17:16 <seb128>	ok
Jun 03 06:17:22 <seb128>	thanks
Jun 03 06:17:23 <srag>	anything else guys ?
Jun 03 06:17:23 <seb128>	that's all from me today ;-)
Jun 03 06:17:28 <srag>	thx seb128 
Jun 03 06:17:31 <mcrha>	seb128, when doesn't it eat emails? ;)
Jun 03 06:17:48 <seb128>	mcrha: when it's not running? ;-)
Jun 03 06:17:59 <mcrha>	do not be sure ;)
Jun 03 06:18:09 <srag>	Ok guys, see you all next week... bye

