Mar 04 05:05:57 <srag>	Hello every one
Mar 04 05:19:01 <srag>	mcrha, yep that is a blocker
Mar 04 05:19:14 <srag>	mcrha, is that bug re-producible for you?
Mar 04 05:19:33 <srag>	mcrha,  you want the smime patch to be reverted ?
Mar 04 05:19:39 <mcrha>	yes, the worse with that patch insources it claims on mails which works fine
Mar 04 05:19:51 <mcrha>	before patch
Mar 04 05:19:59 <mcrha>	*worked fine
Mar 04 05:20:24 <mcrha>	yup, either revert it or look for other solution, but considering time...
Mar 04 05:20:41 <srag>	I think I would let mbarnes|away take a call on that.
Mar 04 05:20:56 <srag>	but if he can fix up, he should go ahead or revert and look for a better soln
Mar 04 05:21:21 <mcrha>	yup, ok
Mar 04 05:21:38 <srag>	mcrha, on the mismatch.. do you reproduce it ?
Mar 04 05:21:46 <srag>	I tried it, its quite hard for me :(
Mar 04 05:21:57 <mcrha>	I was able last time lakhil asked me
Mar 04 05:22:15 <srag>	mcrha, Ok.
Mar 04 05:22:21 <srag>	seb128, anything to share with us ?
Mar 04 05:22:44 <seb128>	not really, evolution-mapi and evolution-* 2.25.92 are in jaunty
Mar 04 05:22:50 <mcrha>	srag, I had 4 messages in local trash, 2 from inbox, 1 in sent and 1 in draft, and doing ctrl+e in a trash invoked mismatch in inbox
Mar 04 05:23:01 <seb128>	I did a bug triage sprint in launchpad some days ago and reported some issues to bugzilla
Mar 04 05:23:11 <seb128>	mcrha did fix some really quickly thanks to him!
Mar 04 05:23:17 <srag>	seb128, cool.
Mar 04 05:23:21 <seb128>	there seem to be quite some crashers due to the libical switch
Mar 04 05:23:30 <seb128>	which are a bit of a concern for 2.26 imho
Mar 04 05:23:45 <srag>	oh
Mar 04 05:23:49 <seb128>	and calendar event, meeting invitations, etc are not working fine for me but maybe that's just my install
Mar 04 05:23:56 <seb128>	otherwise nothing specific
Mar 04 05:24:00 <srag>	lakhil, do you see that too ?
Mar 04 05:24:18 <lakhil>	srag, i will try again 
Mar 04 05:24:22 <srag>	thanks
Mar 04 05:24:33 <srag>	seb128, if you have some specific bug/ids share with akhil
Mar 04 05:24:46 <seb128>	bug #573111 is one
Mar 04 05:24:50 <srag>	I would let chen know about it 
Mar 04 05:25:14 <seb128>	I did, he doesn't get this issue
Mar 04 05:25:21 <seb128>	and you say he's on leave right now?
Mar 04 05:25:25 <seb128>	and code freeze is next week ...
Mar 04 05:25:37 <srag>	today hez on leave 
Mar 04 05:25:45 <seb128>	bug #573196
Mar 04 05:25:45 <srag>	seb128, lemme speak to him today
Mar 04 05:26:10 <seb128>	ok, no hurry, I will test on an another box to see if that's a config issue
Mar 04 05:26:16 <srag>	sure
Mar 04 05:26:24 <srag>	anything else to discuss ?
Mar 04 05:26:43 <seb128>	no
Mar 04 05:26:47 <srag>	Ok guys, See you all next week.. bye
Mar 04 05:27:04 <abharath>	Bye all

