Mar 05 05:08:22 <srag>	Hello again
Mar 05 05:22:42 <psankar>	srag, I dont think I have anything done for it... may eb some .glade files
Mar 05 05:22:50 <schooms>	sorry for the late entry.. 
Mar 05 05:22:50 <psankar>	adn some useless notes
Mar 05 05:22:50 <srag>	psankar, ok oh.
Mar 05 05:22:59 <schooms>	srag: nope.. busy with SP2 bugs
Mar 05 05:23:02 <srag>	psankar, sure useless ?
Mar 05 05:23:06 <srag>	schooms, ok :)
Mar 05 05:23:16 <psankar>	srag, i will send whatever i can to mcrha 
Mar 05 05:23:21 <srag>	psankar, sure
Mar 05 05:23:33 <srag>	Another note is that I would like to bring to notice the GSOC 2008 announcement
Mar 05 05:23:46 <srag>	I would like to get a few things done through it the way we did Google Calendar
Mar 05 05:24:01 <srag>	have it mind and you can mentor some guys to do it.
Mar 05 05:24:21 <srag>	it is good for Evolution as well as for the student :)
Mar 05 05:24:43 <srag>	thatz it from my side... anything to discuss before the GNOME 2.22 release party ? ;-)
Mar 05 05:24:58 <jony>	yay (party) ! 
Mar 05 05:25:42 <srag>	Ok guys... see you all next week. Bye guys

