**** BEGIN LOGGING AT Wed Aug 10 15:38:42 2005

Aug 10 15:38:42 *	Now talking on #evolution-meet
Aug 10 15:53:17 harish	shilpa, ?
Aug 10 15:53:24 *	ksh (~Kaushal@202.144.95.244) has joined #evolution-meet
Aug 10 15:53:25 krish_	harish:-   Also, we regressed some 92 bugs yesterday in one shot and verified most of them
Aug 10 15:53:39 shilpa	i have tested GW proxy wrt mailer, attachment UI and today i am testing interoperability wrt groupwise
Aug 10 15:53:45 krish_	pnayak_test:-  Can you send the status to the community ?
Aug 10 15:53:59 pnayak_test	krish_, oky
Aug 10 15:54:10 shreyas	shilpa: could you send the top issues to both me and sankar 
Aug 10 15:54:16 harish	shilpa, are you using the xplat/win32 client for interop ?
Aug 10 15:54:20 shreyas	shilpa: if there are any ;), heh
Aug 10 15:54:26 harish	shreyas, ?
Aug 10 15:54:26 shilpa	i am using the win32 client
Aug 10 15:54:32 sankar	harish: Fixing proxy bugs and as of now there is no critical/blocker bug in proxy. Triaging bugs. Waiting for modifyProxy fix in SP1.
Aug 10 15:54:34 harish	hows the mac build coming up
Aug 10 15:54:36 shilpa	shreyas, ok
Aug 10 15:55:02 harish	sankar, thanks
Aug 10 15:55:15 harish	sp: anything for us ?
Aug 10 15:55:17 sp	harish: mostly bug fixing in exchange
Aug 10 15:55:31 chen	pnayak_test, will committing the fix for 311831, today, is this the crash ur seeing w.r.t calendar 
Aug 10 15:55:38 harish	thanks..surfy ?
Aug 10 15:56:00 shreyas	yeah, tried 3 days to fix some offlining issue with IMAP. got now where fixed some part of it with NotZed's help but still does not fix the issue. Kinda lost on that one
Aug 10 15:56:21 surfy	mostly .. bug fixing, patch reviews, some training and also made the 2.3.7 release
Aug 10 15:56:29 NotZed	shres: whats wrong with it now?
Aug 10 15:56:55 shreyas	the mac build is going one smoothly. Right now trying to build it with the options i dont use generally. Should package and give a .app to QA by friday
Aug 10 15:57:05 harish	shreyas, GW offline still prompts for password.. i learn something that is triggered by proxy code 
Aug 10 15:57:31 pnayak_test	chen: that bug is not troubling me, my problem is EDs crash in set_tz
Aug 10 15:57:35 sankar	harish: you have the bugid?
Aug 10 15:57:35 harish	shreyas, nice time to start using the options regularly :-)
Aug 10 15:58:02 harish	for password prompting in offline ?
Aug 10 15:58:10 harish	surfy, thanks
Aug 10 15:58:13 sankar	harish: yeah
Aug 10 15:58:14 harish	sush, ?
Aug 10 15:58:24 chen	pnayak_test, have included in the todo, will be looking into it, is it reproducible in any other machine
Aug 10 15:58:25 shreyas	harish: hmmm... yeah. The proxy support for offline is borked. Mostly because when it comes back offline it tries to connect as normal user :(
Aug 10 15:58:44 sush	bug fixing and triaging..
Aug 10 15:58:45 shreyas	sankar: any head start on that ?
Aug 10 15:58:59 harish	shreyas, the one i am referring to - affects even users who do not use proxy
Aug 10 15:59:26 harish	sush, any further leads on the city of largo issue ?
Aug 10 15:59:28 sankar	harish: shreyas: When we go offlien and comeback online, only when we have a proxy, the user may have problem that too only in mailer
Aug 10 15:59:31 shreyas	harish: that sounds weird. Can u point me to the bug id or probably the use-case 
Aug 10 16:00:01 shreyas	sankar: right, but only in mailer ?. did u fix that for the calendar ?
Aug 10 16:00:09 sankar	shreyas: yeah
Aug 10 16:00:13 harish	shreyas, start evolution mailer offline - and try accessing a mail in a GW account..
Aug 10 16:00:27 sush	harish: nothing... I have asked dave to try the new build... i think issue is with get items for ids support lacking in server
Aug 10 16:00:33 harish	tml, any updates for us ?
Aug 10 16:01:01 tml	some work fixing win32 build of some dependencies that have changed in the last months (like libgnomeprint). committed various makefile and trivial code changes to e-d-s and evo that were lying on my disk. (leaving more controversial stuff to be discussed and committed in the next development cycle). been pondering how to distribute evo eventually to win32 "beta" (gamma?) testers
Aug 10 16:01:12 harish	sush, he has been unable to upgrade to the new client owing to red carpet issues.. should be able to resolve it in a day or two
Aug 10 16:01:13 shreyas	sankar: do u understand the problem harish is talking abt ? i see no part of the code which could cause that
Aug 10 16:01:27 sush	ok
Aug 10 16:01:43 sankar	shreyas: I will look into that. But even I dont have any idea
Aug 10 16:01:54 harish	tml, for starters..u can ping krish_ and work out for some alpha testing
Aug 10 16:02:04 tml	any idea about the "sticky" first language issue i mailed e-h?
Aug 10 16:02:20 shreyas	sankar: i dont think its anything related to proxy at all. sounds greviously strange
Aug 10 16:02:27 harish	tml, sorry i must have missed it...
Aug 10 16:03:11 harish	will look into it
Aug 10 16:03:14 harish	varadhan, ?
Aug 10 16:03:17 varadhan	C#/C wrappers for the mail-remote plugin interface, few new APIs to keep track of changes made to contacts and calendars since last-updates, training and few bug-fixes.
Aug 10 16:04:39 harish	tml, i have not observed the behavior in Linux either
Aug 10 16:05:16 harish	varadhan, thanks.. i guess users are getting a taste of beagle-evo integration now with the suse10 betas
Aug 10 16:05:21 harish	viren, ?
Aug 10 16:05:25 viren	harish, bug fixing.
Aug 10 16:05:54 harish	thanks.. anything else from anybody ?
Aug 10 16:06:09 harish	tml, lets discuss it right after the meeting
Aug 10 16:06:12 tml	harish, hmm. but do you see translated strings in .gconf/apps/evolution/calendar/%gconf.xml if you run evo first in a non-english locale?
Aug 10 16:06:36 *	krish_ has quit (Leaving for the day - Have a nice day)
Aug 10 16:06:40 harish	i think not..atleast not on my machine now
Aug 10 16:07:21 harish	thanks all ...catch ya all next week 
Aug 10 16:07:39 harish	ksh, guess i missed you :-0
Aug 10 16:08:07 ksh	harish: from me, 
Aug 10 16:08:18 ksh	harish: bug fixing, reviews, new release of gtkhtml
Aug 10 16:09:17 harish	thanks..bye
Aug 10 16:09:25 varadhan	bye
A
