Aug 06 06:01:30 <srag>	Hello guys,
Aug 06 06:14:25 <srag>	lakhil, any issues you see ?
Aug 06 06:14:27 <mcrha>	hmm, it depends
Aug 06 06:14:43 *	mcrha knows some lakhil's issues ;)
Aug 06 06:14:52 <lakhil>	srag, not any major :)
Aug 06 06:15:04 <lakhil>	mcrha, you cann't share secrets :P
Aug 06 06:15:22 <mcrha>	lakhil, ok, psssst, psst, I'm quite now ;)
Aug 06 06:15:23 <srag>	:)
Aug 06 06:15:37 <srag>	mcrha, anything to share with us ?
Aug 06 06:15:54 <mcrha>	srag, nothing much, still playing with my chair... oh, maybe...
Aug 06 06:16:20 <mcrha>	will try to increase pending patches with work which left on my desk during my work on contact list support for eex
Aug 06 06:16:31 <mcrha>	otherwise nothing, sadly
Aug 06 06:16:58 <srag>	mcrha, dont be sad. you are doing great
Aug 06 06:17:02 <srag>	:)
Aug 06 06:17:07 <srag>	Muelli, anything to share with us ?
Aug 06 06:17:29 <srag>	psankar, anything to share with us ?
Aug 06 06:17:33 <psankar>	Been doing some author(s), license(s) consolidation etc. for evolution sources re-licensing. Ranting and sighing about svn as well ;-)
Aug 06 06:17:35 <lakhil>	mcrha, exchange contact list support was long pending thing ...good to have it in 2.24 :) 
Aug 06 06:17:59 *	mcrha likes old bugs, soooooo much
Aug 06 06:18:03 <srag>	psankar, cool.
Aug 06 06:18:06 <abharath>	mcrha: :)
Aug 06 06:18:08 <srag>	mcrha, thatz good too :)
Aug 06 06:18:16 <srag>	schooms, anything to share with us ?
Aug 06 06:18:27 <schooms>	srag: ï»¿some mapi work (we had new tarballs in OBS), bug triaging today - been good :)
Aug 06 06:18:39 <srag>	schooms, cool. thanks
Aug 06 06:18:48 <srag>	seb128, anything to share with us ?>
Aug 06 06:18:54 <srag>	s/?>/?
Aug 06 06:19:23 <seb128>	srag: not really, I've uploaded the 2.23.6 stack to ubuntu intrepid so expect me to be around sending bugs and asking debug questions on IRC for a while ;-) 
Aug 06 06:19:33 *	jony (~jjohnny@ecoprobe-dmz.gns.novell.com) has joined #evolution-meet
Aug 06 06:19:36 <seb128>	srag: I've already started as you noticed yesterday, thanks for the quick fixes btw ;-)
Aug 06 06:19:38 <srag>	seb128, feel free to ping me anytime...
Aug 06 06:19:52 <seb128>	noted, thank you
Aug 06 06:19:58 <srag>	seb128, sure.. and thanks for all the help.. I want you to get me more traces.. :)
Aug 06 06:20:11 <srag>	so that I dont get surprises at the last :)
Aug 06 06:20:16 <seb128>	he he
Aug 06 06:20:21 <jony>	(apologies for me late entry .. :) )
Aug 06 06:20:37 <srag>	:)
Aug 06 06:20:38 <seb128>	btw do you think that doing e-d-s svn snapshots is a good idea or not?
Aug 06 06:20:43 *	{srinidhi} (~srinidhi@ecoprobe-dmz.gns.novell.com) has joined #evolution-meet
Aug 06 06:20:53 <srag>	seb128, snaps shots in the sense? 
Aug 06 06:21:02 <srag>	intermediate builds ?
Aug 06 06:21:06 <seb128>	upload the current svn versions to ubuntu
Aug 06 06:21:12 <srag>	I can tell you when its better, if you are looking at...
Aug 06 06:21:24 <srag>	may be this friday or so, when vfolder thingy lands on trunk
Aug 06 06:21:32 <seb128>	ok, because that might be easier than to backport all the fixes you commit
Aug 06 06:21:33 <srag>	I will tell you a particular version for that
Aug 06 06:21:37 <srag>	seb128, sure
Aug 06 06:21:40 <seb128>	ok thank you
Aug 06 06:21:44 <srag>	anytime
Aug 06 06:21:49 <srag>	shashish, anything to share with us ?
Aug 06 06:21:56 <shashish>	srag, nothing much, worked on non-intrusive-error-dialog support for calendar....its close to complete....
Aug 06 06:22:10 <srag>	shashish, nice.. lets have a demo and see if we can push it
Aug 06 06:22:17 <srag>	{srinidhi}, anything to share with us ?
Aug 06 06:22:18 <shashish>	srag, sure...
Aug 06 06:22:37 <mcrha>	shashish, srag, demo? something public?
Aug 06 06:22:47 <{srinidhi}>	srag: nothing as of now
Aug 06 06:22:48 <{srinidhi}>	:)
Aug 06 06:23:07 <srag>	mcrha, if possible, thatz great
Aug 06 06:23:15 <jony>	hmm .. a eluminate session ? 
Aug 06 06:23:24 <srag>	if not, personally to me, since he sits 2 cubicle away from me
Aug 06 06:23:32 <srag>	jony, anythjing to share with us ?
Aug 06 06:23:38 <srag>	jony, treat us... as a late arrival penalty ;-) [that too sitting next to me and hearing all the discussions, you didn't join the chat]
Aug 06 06:23:44 <jony>	srag: nothing much .. same MAPI stuff .. 
Aug 06 06:23:45 <srag>	who wants to join ?
Aug 06 06:23:45 <mcrha>	srag, err, all that cheating with cubicles... :)
Aug 06 06:23:51 <srag>	:)
Aug 06 06:23:58 <jony>	hehe .. was out for coffee :)
Aug 06 06:24:02 <srag>	jony, liar
Aug 06 06:24:12 <jony>	:) srag any updates from alp ? 
Aug 06 06:24:13 <srag>	I saw you all the while
Aug 06 06:24:19 <jony>	lol
Aug 06 06:24:30 <srag>	nope.. I have sent mails, pinged him on bug, irc ... just waiting 
Aug 06 06:24:30 *	jony would like to  c webkit in asap :) 
Aug 06 06:24:43 <srag>	I want to have webkit backend for Evo as a conditional compilation
Aug 06 06:24:51 <srag>	for rendering mail display
Aug 06 06:25:05 <EvaSDK>	that would be awesome
Aug 06 06:25:06 *	jony wants it for some css support .. 
Aug 06 06:25:27 <srag>	it should be default for 2.26 with editing too possible in it
Aug 06 06:25:37 <mcrha>	isn't evo too tight to gtkhtml at the moment?
Aug 06 06:25:40 <srag>	alp had that in his demo at GUADEC
Aug 06 06:25:46 <srag>	mcrha, not really, ;-)
Aug 06 06:25:49 <srag>	we can loosen it
Aug 06 06:25:56 <jony>	mcrha: not really .. alp had patch for it .. 
Aug 06 06:26:07 <mcrha>	ahh, then will see
Aug 06 06:26:22 <jony>	mcrha: it looked awesome ! the rendering of mails :) 
Aug 06 06:26:26 <srag>	Im done... anything else to discuss ?
Aug 06 06:26:51 <mcrha>	jony, as long as I can read those strange symbols names letters, then I'm fine with anything :)
Aug 06 06:26:58 <srag>	:)
Aug 06 06:27:00 <jony>	mcrha: :)
Aug 06 06:27:10 <srag>	Ok guys, see you all next week. bye guys

