Aug 13 12:06:37 <srag>	Hello every one
Aug 13 12:16:35 <muelli>	I a have started to reimplement the EAccount to store stuff directly to GConf and get rid of those very efficent but ugly macro which is pretty hard to understand. I had to make a couple of design decissions, like use a hashtable to store all the properties instead of a (local) datastructure. That gives us the ability to (really) see whether a property has changes. Consumes more memory though :-\
Aug 13 12:16:47 <srag>	muelli, ah!
Aug 13 12:16:51 <muelli>	I use the hashtable as a cache to not query GConf all the time, but Gconf has a cache itself, so the HT might be bloat.
Aug 13 12:17:01 <srag>	muelli, lets see how we can overcome it
Aug 13 12:17:03 <muelli>	Also I encountered a small problem: Where to put accoutns? I went for /apps/evolution/mail/account/$uid/$property, but we can't install schemas for that.
Aug 13 12:17:12 <srag>	oh
Aug 13 12:17:20 *	varadhan (~bhargavi@ecoprobe-dmz.gns.novell.com) has joined #evolution-meet
Aug 13 12:17:28 <EvaSDK_>	muelli: did you have a look at my gconf draft on the wiki ?
Aug 13 12:17:31 <srag>	muelli, lets take it offline away from the meeting...
Aug 13 12:17:40 <muelli>	EvaSDK_: uh. no. show me :)
Aug 13 12:17:54 <srag>	pvanhoof, anything to share with us ?
Aug 13 12:18:06 <srag>	missed psankar_afk 
Aug 13 12:18:10 <pvanhoof>	nope
Aug 13 12:18:11 <srag>	psankar_afk, anything to share with us ?
Aug 13 12:18:30 <psankar_afk>	srag, nothing much. working on relicensing and db monitoring
Aug 13 12:18:37 <srag>	psankar_afk, ok
Aug 13 12:18:43 <srag>	schooms, anything to share with us ?
Aug 13 12:18:59 <schooms>	srag: MAPI .. nothing more
Aug 13 12:19:09 <srag>	schooms, ok
Aug 13 12:19:13 <srag>	seb128, anything to share with us ?
Aug 13 12:19:15 <schooms>	fixed the fedora builds yesterday :)
Aug 13 12:19:35 <srag>	schooms, cool
Aug 13 12:19:56 <seb128>	srag: nothing special no, you guys are doing a good job at fixing bugs I report ;-) I'm waiting for next tarballs now to see if there is still some bugs around ;-)
Aug 13 12:20:07 <srag>	seb128, sure.. monday  we should have it...
Aug 13 12:20:12 <seb128>	cool
Aug 13 12:20:20 <srag>	seb128, get all bugs.. and CC me there, for a fast fix ;-)
Aug 13 12:20:29 <srag>	if Im not online
Aug 13 12:20:30 <seb128>	will do ;-)
Aug 13 12:20:37 <srag>	varadhan, anything to share with us ?
Aug 13 12:20:39 <srag>	seb128, thx
Aug 13 12:21:40 <srag>	Ok guys, anything else to discuss before we leave ?
Aug 13 12:21:42 <jony>	srag: yep. any updates from Alp on the webkit patch ?
Aug 13 12:21:45 <srag>	Im done from my side...
Aug 13 12:21:54 <srag>	jony, no updates... Even I pinged him yesterday :(
Aug 13 12:22:08 <jony>	oh ..  so we wont be having it for 2.24 ? 
Aug 13 12:22:22 <srag>	jony, looks like that 
Aug 13 12:22:22 <jony>	as a optional thing ? 
Aug 13 12:22:26 <jony>	oh .. okie .. 
Aug 13 12:22:29 <srag>	lets see
Aug 13 12:22:33 <jony>	cool . 
Aug 13 12:22:42 <srag>	Anything else ?
Aug 13 12:23:06 <srag>	Ok guys, see you all next week.
Aug 13 12:23:08 <srag>	bye
