Jun 25 06:09:46 <srag>	Hello guys,
Jun 25 06:32:19 <psankar>	for everyone ;-)
Jun 25 06:32:22 <srag>	mcrha, you are doing great.. hmmm really great
Jun 25 06:32:45 <mcrha>	will see. I'll try to get better last time ;)
Jun 25 06:32:57 <mcrha>	s/last/next
Jun 25 06:33:10 <srag>	mcrha, keep it up
Jun 25 06:33:17 <srag>	psankar, anything to share with us ?
Jun 25 06:33:33 <psankar>	srag, nothing much. some sexp to sql work etc.
Jun 25 06:33:40 <psankar>	srag, just disk-summary
Jun 25 06:33:50 <srag>	psankar, we need to close the mbox corruption
Jun 25 06:33:55 <psankar>	busy roaming in madagascar ;-)
Jun 25 06:33:55 <srag>	schooms, anything to share with us ?
Jun 25 06:33:59 <psankar>	srag, yeah we will
Jun 25 06:34:07 <srag>	for monday's release
Jun 25 06:34:08 <schooms>	nope srag
Jun 25 06:34:32 <srag>	schooms, bad.. what were doing last week? ;-)
Jun 25 06:34:42 *	srag shoots a mail to schooms's manager
Jun 25 06:34:50 <schooms>	reverse-engineering :'(
Jun 25 06:34:59 <srag>	:)
Jun 25 06:35:03 <schooms>	and hopelessly stuck!
Jun 25 06:35:03 <srag>	seb128, anything to share with us?
Jun 25 06:35:15 <srag>	schooms, come out of it soon
Jun 25 06:35:25 <abharath>	schooms: reverse ur engineering ;)
Jun 25 06:35:33 <schooms>	yeah.. maybe the gods will smile on me ;)
Jun 25 06:35:49 <srag>	seb128, do you have any list for me?
Jun 25 06:35:51 <seb128>	srag: nothing special no, things to be in shape ;-)
Jun 25 06:36:02 <srag>	ok :)
Jun 25 06:36:08 <psankar>	There are no gods, we just believe in Evolution ;-)
Jun 25 06:36:13 <seb128>	srag: the list is basically the gnome-panel hang and the mbox corruption but you listed those already
Jun 25 06:36:35 <srag>	seb128, sure, 2.22.3 should get over that, IMO
Jun 25 06:36:41 <seb128>	cool
Jun 25 06:36:41 <srag>	lets see
Jun 25 06:36:50 <srag>	anything else to discuss guys?
Jun 25 06:37:00 <lakhil>	i guess this bug cam become critical http://bugzilla.gnome.org/show_bug.cgi?id=538074
Jun 25 06:37:06 <lakhil>	s/cam/can
Jun 25 06:37:07 <seb128>	does the gnome-panel changes will make the calendar work correctly? or just not hang because it's using the async api?
Jun 25 06:37:31 <srag>	chen_brb, ?
Jun 25 06:37:33 <chen_brb>	seb128, it will fix up the hang alone in panel
Jun 25 06:37:33 <seb128>	srag: oh, yes, one issue still on my list
Jun 25 06:37:38 <srag>	seb128, sure
Jun 25 06:37:39 *	chen_brb is now known as chen
Jun 25 06:37:52 <seb128>	srag: http://bugzilla.gnome.org/show_bug.cgi?id=537415
Jun 25 06:38:20 <jony>	srag: in bugzilla , target milestone doesnt have latest versions .
Jun 25 06:38:59 <srag>	jony, oh.. I need to see, if I have do anything to get that in sync.. but will do the needful
Jun 25 06:39:07 <jony>	srag: cool.
Jun 25 06:39:26 <srag>	seb128, sure, I think mbarnes_ is already nailing it
Jun 25 06:39:37 <srag>	lakhil, sure.
Jun 25 06:39:50 <seb128>	srag: alright, as I said you guys are rocking and have things under control ;-)
Jun 25 06:40:01 <srag>	sure
Jun 25 06:40:27 <srag>	Ok guys, see you all next week. bye.

