This is a list of Gnome Bugzilla products with the percentage of recent
patches filed in Bugzilla that have been reviewed for each product.
Only patches submitted during 2005 and before the last week of 2005 are
considered, and only products which have at least 4 patches submitted
in that time are shown.
ORBit2                          58 (  11/  19)
zenity                          58 (  19/  33)
glibmm                          57 (   4/   7)
esound                          56 (   9/  16)
gnome-common                    56 (   5/   9)
GnuCash                         52 (  13/  25)
gnome-terminal                  51 (  35/  69)
bug-buddy                       50 (   8/  16)
Coaster                         50 (   2/   4)
muine                           48 (  13/  27)
bounties                        46 (   6/  13)
vino                            45 (   5/  11)
vte                             45 (  28/  62)
LDTP                            44 (   8/  18)
gmime                           43 (   3/   7)
libgnomecanvas                  43 (   3/   7)
gnome-session                   42 (   8/  19)
libgnomedb                      40 (   2/   5)
straw                           40 (   2/   5)
nautilus-sendto                 40 (   2/   5)
gnome-netstatus                 36 (   4/  11)
dasher                          27 (   3/  11)
serpentine                      25 (   1/   4)
bluefish                        25 (   1/   4)
gpdf                            21 (   3/  14)
Glom                            20 (   1/   5)
libxslt                         18 (   2/  11)
gftp                            10 (   2/  20)
mergeant                         0 (   0/   6)
libglade                         0 (   0/   5)
